module,term,HR,ci_low,ci_high,p,n,n_nivo,n_evero
complement_C1Q,module x nivo-arm (OS),0.6471335510447208,0.3891963635169362,1.076016818614305,0.09343507126435814,250,120,130
CLEC_LAM8,module x nivo-arm (OS),0.5330667000722945,0.3165999658050156,0.8975367574770089,0.017951016228255765,250,120,130
RCC_skew_CORE,module x nivo-arm (OS),0.5725501889549623,0.343150189261384,0.9553068281208525,0.03275968821456372,250,120,130
