"test_ligand","aupr_corrected","pearson","rank","n_ligands"
"TGFB1",0.0206191025752745,0.0853596864897762,5,116
"C1QB",0.013258928515546,0.0312965350839249,12,116
"C3",0.0105301232465335,0.0202383812548753,36,116
"C1QA",0.00984972347062857,0.00748287897968737,43,116
"APOE",0.00910561902813834,0.00987652858841858,55,116
"GAS6",0.00506038564925251,0.00838174035047655,107,116
