"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Pericyte","TAM_CLEC_LAM","ANXA1","FPR3",0.00217816290720612,0,"ANXA1_FPR3","ANXA1 - FPR3","ANNEXIN","Secreted Signaling","PMID: 33082511"
"TAM_CLEC_LAM","TAM_CLEC_LAM","HLA-DOA","CD4",0.00211358957692885,0,"HLA-DOA_CD4","HLA-DOA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Osteoclast","TIM","LGALS9","P4HB",0.002053360998638,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Osteoclast","TAM_CLEC_LAM","LGALS9","P4HB",0.00203730232874543,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Osteoclast","TAM_other","HLA-DMA","CD4",0.00195226448592915,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"TIM","TAM_other","HLA-DMB","CD4",0.00194819480016192,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Osteoclast","TAM_other","LGALS9","P4HB",0.00190573227058558,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"TAM_CLEC_LAM","TAM_other","HLA-DOA","CD4",0.00177494675528397,0,"HLA-DOA_CD4","HLA-DOA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Osteoclast","TAM_CLEC_LAM","LGALS9","HAVCR2",0.00166706320481762,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"Osteoclast","TAM_CLEC_LAM","HLA-DRB5","CD4",0.00161351439681592,0,"HLA-DRB5_CD4","HLA-DRB5 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial","TAM_CLEC_LAM","GAS6","MERTK",0.00160982787222269,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"Osteoclast","TAM_other","LGALS9","HAVCR2",0.0015064944802884,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"Tumor","TAM_CLEC_LAM","HLA-DRB1","CD4",0.00137670981354445,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Osteoclast","TAM_other","HLA-DRB5","CD4",0.00135488566127695,0,"HLA-DRB5_CD4","HLA-DRB5 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Tumor","TAM_other","HLA-DRB1","CD4",0.00115599431719579,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
