endpoint,module,model,HR_per_SD,ci_low,ci_high,p,n,events
OS,complement_C1Q,unadj,1.2567034380244648,1.0907494539918057,1.447906781307795,0.0015664530329547466,532,175
OS,complement_C1Q,adj(panTAM+Obradovic+immune),1.6127437581540716,1.1461682446308483,2.269250122439587,0.0060896782892591065,532,175
OS,complement_C1Q_C3,unadj,1.2709025615709084,1.1011208307605396,1.466862923564791,0.001050737853007366,532,175
OS,complement_C1Q_C3,adj(panTAM+Obradovic+immune),1.671905647878794,1.1924762400056983,2.344087371833633,0.002873765131929043,532,175
OS,CLEC_LAM8,unadj,1.1892397090312505,1.0337987172064924,1.368052660539567,0.015305413066024924,532,175
OS,CLEC_LAM8,adj(panTAM+Obradovic+immune),1.5427942141060813,0.7051017254559943,3.3757029675964842,0.2777707330705237,532,175
OS,RCC_skew_CORE,unadj,1.2503715773819282,1.0862612851650004,1.4392753409112706,0.0018546411199601186,532,175
OS,RCC_skew_CORE,adj(panTAM+Obradovic+immune),2.2367467955031963,1.3578889324917447,3.684422273044953,0.0015702567462203864,532,175
OS,APOE_TREM2,unadj,1.1651586152289504,1.0125301874648955,1.3407941960143415,0.03285991443686032,532,175
OS,APOE_TREM2,adj(panTAM+Obradovic+immune),1.0084334909299337,0.7821476731909198,1.300186832341188,0.9483529500709261,532,175
OS,MERTK_GPNMB,unadj,0.9059034601724248,0.7753134996932693,1.0584893458930398,0.21340264341016707,532,175
OS,MERTK_GPNMB,adj(panTAM+Obradovic+immune),0.718268536728546,0.5833495515866158,0.8843920243891097,0.0018251780733863276,532,175
OS,panTAM,unadj,1.127646607189016,0.9736866879356044,1.3059507606095528,0.10872731572267937,532,175
OS,panTAM,adj(panTAM+Obradovic+immune),0.8967928733943636,0.6863999173596694,1.1716747590304613,0.4245608244863278,532,175
OS,Obradovic_TREM2,unadj,1.1800047976933459,1.024271767511953,1.3594158959995593,0.02190222454087299,532,175
OS,Obradovic_TREM2,adj(panTAM+Obradovic+immune),1.0689237776336065,0.8466340787624351,1.349577191672569,0.5752503593143906,532,175
PFI,complement_C1Q,unadj,1.1837364630246268,1.0180875865775294,1.3763373921535846,0.028305445016009755,530,160
PFI,complement_C1Q,adj(panTAM+Obradovic+immune),1.305135173647994,0.9166689407466642,1.8582257408063905,0.13959647380762488,530,160
PFI,complement_C1Q_C3,unadj,1.197055478856271,1.0292515540464082,1.3922172998683724,0.019589575323360406,530,160
PFI,complement_C1Q_C3,adj(panTAM+Obradovic+immune),1.3639114522756663,0.9668213723263182,1.9240932222802072,0.07709866950899787,530,160
PFI,CLEC_LAM8,unadj,1.1584390794659276,0.9969737565950761,1.346054589658487,0.05480873597113995,530,160
PFI,CLEC_LAM8,adj(panTAM+Obradovic+immune),1.697169244762439,0.7766276749074881,3.7088344111747227,0.1847814314799084,530,160
PFI,RCC_skew_CORE,unadj,1.197759903258172,1.0308249628695645,1.3917287973502017,0.0184527589353672,530,160
PFI,RCC_skew_CORE,adj(panTAM+Obradovic+immune),1.828914735738169,1.0937132545544568,3.0583236480596847,0.02136646046134837,530,160
PFI,APOE_TREM2,unadj,1.153093719233108,0.9928771403804879,1.3391638010975921,0.061998158242911314,530,160
PFI,APOE_TREM2,adj(panTAM+Obradovic+immune),1.0933993876103971,0.8337412803704933,1.4339247065894731,0.5186082917110304,530,160
PFI,MERTK_GPNMB,unadj,0.9520876521328215,0.812173860033671,1.116104496771428,0.5448849777958269,530,160
PFI,MERTK_GPNMB,adj(panTAM+Obradovic+immune),0.828847794862782,0.6738484475072487,1.0195002594281504,0.07554651481282114,530,160
PFI,panTAM,unadj,1.1203892040974008,0.9602082969164367,1.3072913165707094,0.14870414081946992,530,160
PFI,panTAM,adj(panTAM+Obradovic+immune),0.9172895961578776,0.6935645327215851,1.2131822830064616,0.545030598595843,530,160
PFI,Obradovic_TREM2,unadj,1.1457763977176847,0.9849636846510689,1.3328446256696105,0.07779682461220995,530,160
PFI,Obradovic_TREM2,adj(panTAM+Obradovic+immune),1.0162430573972556,0.7960408009154447,1.2973580632053812,0.8971114911308196,530,160
DFI,complement_C1Q,unadj,0.9672893005573424,0.5782643393045,1.618029208057429,0.8991764654468646,115,15
DFI,complement_C1Q,adj(panTAM+Obradovic+immune),0.7840438829728118,0.23928585545061692,2.56899769219309,0.6878426910292776,115,15
DFI,complement_C1Q_C3,unadj,1.013523324356561,0.6119039863814206,1.67874299216359,0.9583901265197224,115,15
DFI,complement_C1Q_C3,adj(panTAM+Obradovic+immune),0.8578093573637239,0.2617412614399116,2.811314079915108,0.8000801408911524,115,15
DFI,CLEC_LAM8,unadj,0.9772253841859719,0.5930769159446247,1.6101949440679046,0.9279559401377714,115,15
DFI,CLEC_LAM8,adj(panTAM+Obradovic+immune),0.5951920761363602,0.03514783327979335,10.078960050694585,0.7192666232908107,115,15
DFI,RCC_skew_CORE,unadj,0.9773560917305909,0.5898034910072857,1.6195647272475973,0.9291748161364132,115,15
DFI,RCC_skew_CORE,adj(panTAM+Obradovic+immune),0.639013506535303,0.11898261522031146,3.4319153329959464,0.6015563876010669,115,15
DFI,APOE_TREM2,unadj,0.9868989668745066,0.5941221380639821,1.6393423311774995,0.9593795077511265,115,15
DFI,APOE_TREM2,adj(panTAM+Obradovic+immune),0.9070024309444112,0.3466324832856194,2.373272700646519,0.8423454941354905,115,15
DFI,MERTK_GPNMB,unadj,0.9902982485602545,0.5905777686019624,1.6605613574365234,0.9705120841920942,115,15
DFI,MERTK_GPNMB,adj(panTAM+Obradovic+immune),1.1408780474601226,0.5815999316982177,2.237969174748461,0.701427578664064,115,15
DFI,panTAM,unadj,1.1106664211250457,0.6758909467610213,1.82511676613843,0.6787396869702769,115,15
DFI,panTAM,adj(panTAM+Obradovic+immune),0.7050097200235657,0.27899602045450106,1.7815261469249668,0.45988758078890946,115,15
DFI,Obradovic_TREM2,unadj,1.0424363813863984,0.6326650592338908,1.7176128085117386,0.870424963294707,115,15
DFI,Obradovic_TREM2,adj(panTAM+Obradovic+immune),0.5993252278775061,0.2463124506483656,1.458272725657719,0.2591377367914727,115,15
