module,CD8_exhaustion,cytotoxicity,Treg_fraction,MHC_I_APM(n9),MHC_II_APC,TCGA_OS_adj,TCGA_PFI_adj,Braun_nivo_OS_adj,Braun_nivo_ORR,beats_generic_controls,verdict
complement_C1Q,0.51↑*(p0.05),-0.82↓*(p0.04),0.15↑(p0.66),-1.17↓(p0.22),1.19↑*(p0.01),1.61↑*(p0.01),1.31↑(p0.14),1.15↑(p0.41),0.83↓(p0.30),"yes (CD8_exhaustion,cytotoxicity,MHC_II_APC)",SUPPORTED-specific (cytotox/exhaustion beat panTAM; TCGA-OS survives Obradovic)
CLEC_LAM8,0.44↑~(p0.07),-0.77↓*(p0.04),0.16↑(p0.63),-1.18↓(p0.19),0.98↑*(p0.03),1.54↑(p0.28),1.70↑(p0.18),1.02↑(p0.89),0.89↓(p0.53),,supported-broad (TCGA-OS collapses vs Obradovic; ICB arm-INT exploratory)
RCC_skew_CORE,0.41↑~(p0.09),-0.78↓*(p0.03),0.09↑(p0.79),-1.15↓(p0.19),0.94↑*(p0.04),2.24↑*(p0.00),1.83↑*(p0.02),1.08↑(p0.67),0.87↓(p0.44),,supported (TCGA-OS survives Obradovic; ~complement)
APOE_TREM2,0.26↑(p0.22),-0.55↓~(p0.08),0.13↑(p0.63),-1.10↓(p0.10),0.13↑(p0.76),1.01↑(p0.95),1.09↑(p0.52),1.02↑(p0.88),0.98↓(p0.92),,= Obradovic (collapses); not independent
MERTK_GPNMB,0.35↑*(p0.03),-0.06↓(p0.82),0.65↑*(p0.00),-0.27↓(p0.71),0.49↑(p0.13),0.72↓*(p0.00),0.83↓~(p0.08),0.84↓(p0.30),1.04↑(p0.82),,shared-support (Treg via broad; OS flips protective when adj)
panTAM,0.18↑(p0.38),-0.09↓(p0.77),0.35↑(p0.18),0.91↑(p0.48),-0.23↓(p0.54),1.13↑(p0.11),1.12↑(p0.15),1.16↑(p0.37),1.08↑(p0.69),,generic control (mostly null)
SPP1_TAM,0.51↑*(p0.04),0.61↑(p0.12),1.21↑*(p0.00),0.24↑(p0.81),0.09↑(p0.86),—,—,—,—,,"broad-TAM (Treg/exhaustion, not specific)"
inflammatory_mono,-0.10↓(p0.46),0.36↑~(p0.06),0.03↑(p0.85),0.62↑(p0.55),-0.64↓*(p0.00),—,—,—,—,,generic control (mostly null)
