"pathway","group","outdeg","indeg"
"ANNEXIN","TAM_CLEC_LAM",0.00781873621480939,0.0666906628921682
"ANNEXIN","TAM_other",0.00886191307091988,0
"ANNEXIN","TIM",0.0103106085715869,0
"ANNEXIN","Tumor",0.00367591142987908,0
"CLEC","Endothelial",0,0
"CLEC","MSC",0,0
"CLEC","Osteoclast",0.004960664431322,0
"CLEC","Pericyte",0,0
"CLEC","T_NK",0.0382581695397195,0.0575281360052181
"CLEC","TAM_CLEC_LAM",0.00741868091021811,0
"CLEC","TAM_other",0.00689062112395842,0
"CLEC","TIM",0,0
"CLEC","Tumor",0,0
"ESAM","Endothelial",0.035992331921063,0.035992331921063
"ESAM","MSC",0,0
"ESAM","Osteoclast",0,0
"ESAM","Pericyte",0.0165283913448095,0.0165283913448095
"ESAM","T_NK",0,0
"ESAM","TAM_CLEC_LAM",0,0
"ESAM","TAM_other",0,0
"ESAM","TIM",0,0
"ESAM","Tumor",0,0
"PLAU","Endothelial",0,0
"PLAU","MSC",0,0.0027115323422447
"PLAU","Osteoclast",0,0
"PLAU","Pericyte",0,0
"PLAU","T_NK",0,0
"PLAU","TAM_CLEC_LAM",0.0524333608066176,0.0132438431413557
"PLAU","TAM_other",0,0.0171694638994371
"PLAU","TIM",0,0.0193085214235802
"PLAU","Tumor",0,0
"THBS","Endothelial",0,0
"THBS","MSC",0.0517053098110509,0
"THBS","Osteoclast",0,0
"THBS","Pericyte",0,0
"THBS","T_NK",0,0.0102012069998704
"THBS","TAM_CLEC_LAM",0,0.00897974416566586
"THBS","TAM_other",0,0.00846328689311886
"THBS","TIM",0,0.0106336168266521
"THBS","Tumor",0,0.0134274549257436
"RESISTIN","Endothelial",0,0
"RESISTIN","MSC",0,0.0032188016842687
"RESISTIN","Osteoclast",0,0.00781959738269346
"RESISTIN","Pericyte",0,0.00483539337643021
"RESISTIN","T_NK",0,0.00502839938572904
"RESISTIN","TAM_CLEC_LAM",0,0.00503394662309659
"RESISTIN","TAM_other",0,0.00474982875448198
"RESISTIN","TIM",0.0357726438061405,0.00508667659944056
"RESISTIN","Tumor",0,0
"THY1","Endothelial",0,0
"THY1","MSC",0.00549062192276746,0
"THY1","Osteoclast",0,0
"THY1","Pericyte",0.0224594946480984,0
"THY1","T_NK",0,0
"THY1","TAM_CLEC_LAM",0,0.0279501165708659
