axis,ligand,lig_delta_TvsB,lig_p,A_tumor_elevated,receptor_max_detect,B_cellchat_toTAM_pairs,B_cellchat_maxprob,B_cellchat,C_nichenet_rank,C_nichenet_aupr,C_top20,verdict,lines_available
complement_C1QA,C1QA,1.741,0.002586468,True,0.123,6,0.0046633450493883,True,43.0,0.0098497234706285,False,SUPPORTED_TUMOR_SPECIFIC,"A=True,B=True,C=True"
complement_C1QB,C1QB,1.81,0.026236704,True,0.123,6,0.0046633450493883,True,12.0,0.013258928515546,True,SUPPORTED_TUMOR_SPECIFIC,"A=True,B=True,C=True"
complement_C1QC,C1QC,2.286,0.01549115,True,0.123,6,0.0046633450493883,True,,,,SUPPORTED_TUMOR_SPECIFIC,"A=True,B=True,C=True"
complement_C3,C3,0.148,0.15770438,False,0.668,6,0.0046633450493883,True,36.0,0.0105301232465335,False,PRESENT_NOT_TUMOR_GAINED,"A=True,B=True,C=True"
APOE_TREM2,APOE,-0.038,0.96160305,False,0.452,4,0.174128710655938,True,55.0,0.0091056190281383,False,PRESENT_NOT_TUMOR_GAINED,"A=True,B=True,C=True"
GAS6_MERTK,GAS6,-0.415,0.021616394,False,0.265,2,0.0035973958719699,True,107.0,0.0050603856492525,False,NOT_TUMOR_GAINED,"A=True,B=True,C=True"
PROS1_MERTK,PROS1,0.002,0.85981923,False,0.265,0,0.0,False,,,,UNSUPPORTED,"A=True,B=True,C=True"
TGFB1_TGFBR,TGFB1,0.316,0.00041229505,True,0.167,0,0.0,False,5.0,0.0206191025752745,True,SUPPORTED_TUMOR_SPECIFIC,"A=True,B=True,C=True"
