outcome,n,complement_coef,complement_p,panTAM_coef,panTAM_p
CD8_exhaustion,24,0.6103095805213735,0.020093721582051447,0.29248594386181687,0.11422288297951443
cytotoxicity,24,-0.9091961634525279,0.02899539960264645,-0.2644963210904403,0.3594564108923124
Treg_fraction,24,0.29403043487884195,0.40826704057990826,0.4037650306960323,0.13669862371772046
MHC_I_APM,9,-1.0858696678557425,0.39136761405164483,0.2188131883501528,0.8820034148870006
MHC_II_APC,24,1.1889790040794104,0.01853228308934686,-0.007249523755516393,0.9829961456059046
