TF,fdr,nes,es,tag %,gene %,lead_genes
ZNF324 human tf ARCHS4 coexpression,0.8295953454365474,-0.8519091536360529,-0.33656316213354265,6/49,12.86%,PPP1R35;MEPCE;INTS1;NELFB;KLHL15;JMJD8
SOX21 human tf ARCHS4 coexpression,0.8302071355195371,-0.8531274334010756,-0.39399239454599794,6/16,25.87%,KIAA0101;MARCKSL1;FABP7;MAP2K6;HIST1H4C;LLGL1
PGR human tf ARCHS4 coexpression,0.8304321291165263,-0.8536540711809116,-0.36037441989184715,8/24,18.76%,JUP;THBS1;SEMA3C;SFRP4;CPNE8;RIN2;MPP7;ADAM15
NKX6-2 human tf ARCHS4 coexpression,0.8305480736025472,-0.8521043240940013,-0.36160562595414575,3/25,9.23%,EVI5L;GPR162;GPM6A
SP110 human tf ARCHS4 coexpression,0.8367739932453923,-0.8469668814937474,-0.3065049596885005,24/69,18.41%,FGD3;CCDC88B;PSTPIP1;SIGLEC14;IFIT3;SELL;OAS1;PTPRCAP;FGD2;NCF1;NADK;FAM65B;APOBEC3A;FFAR2;GIMAP8;GBP5;NOD2;VNN2;PARP8;TMEM154;CDC42SE1;IL7R;RASGRP4;PIK3CD
SPI1 human tf ARCHS4 coexpression,0.8374620467840141,-0.8472983178411942,-0.3046736396679903,25/88,18.41%,FRAT1;FGD3;IL1R2;CCDC88B;PSTPIP1;LFNG;SIGLEC14;ANKRD13D;NCF1;NADK;PLBD1;UNC13D;SIPA1;APOBEC3A;CSF3R;CLEC12A;ZNF467;FFAR2;PRKCD;NOD2;PPM1M;VNN2;CDC42SE1;RASGRP4;PIK3CD
RREB1 human tf ARCHS4 coexpression,0.8390240166099482,-0.8451023722749634,-0.3245488837742663,9/44,16.44%,MYO15B;TNRC18;SULT1A1;UBR4;CPT1A;CEBPA;MDM4;MAP3K1;ATP11B
PATZ1 human tf ARCHS4 coexpression,0.8428884651843104,0.9820465390183887,0.3607145100401775,13/21,37.52%,UBA1;SSBP3;IGFBP2;DYNLL2;PHF13;MTA1;ARID3B;FBRSL1;NOTCH1;RNF44;ZNF48;PTOV1;ZNF358
SIM1 human tf ARCHS4 coexpression,0.853342749716831,-0.8343829022826633,-0.4060524071413431,6/16,27.48%,FXYD2;PDK4;RIN2;OCLN;IAPP;TSPAN2
DRAP1 human tf ARCHS4 coexpression,0.8538961654713824,-0.8333084324586728,-0.3434254637416799,5/31,8.83%,PRKCDBP;CENPB;ZNF787;TBC1D2;NELFB
ZNF418 human tf ARCHS4 coexpression,0.8539784089028424,-0.8348045602248707,-0.3679168513379913,4/17,17.10%,SOX4;STMN1;MDM4;HNRNPH1
IRX6 human tf ARCHS4 coexpression,0.8540707534736169,-0.8325217898878525,-0.35951653399320777,6/20,15.53%,MAP3K6;TCHH;RBP7;CEBPA;FABP4;PNPLA2
UBR4 human tf ARCHS4 coexpression,0.8550315669834456,-0.8349645817930826,-0.32959420345440665,10/43,21.43%,SIN3B;TNRC18;INTS1;REXO1;NPLOC4;ATP11B;CNOT1;MKI67;RAI1;INPPL1
GSX2 human tf ARCHS4 coexpression,0.8560155226127638,-0.8351425681740886,-0.3672442541293593,4/20,12.20%,CKB;SLC1A3;SOX4;UBXN7
AHCTF1 human tf ARCHS4 coexpression,0.8586923292550732,-0.8290751138893226,-0.36031739136639396,6/22,24.00%,VCL;UBR4;ATP11B;CNOT1;MKI67;ZNF217
STAT5A human tf ARCHS4 coexpression,0.859086809691597,0.9741472902023972,0.2667310997631687,17/77,15.94%,TYMP;FCGR2B;HLA-DRB1;IL1RN;ADAM8;NFKB1;PLEKHM2;PIM1;ICAM1;TNF;PIM3;TRIM25;OSCAR;BATF;PARP12;SAMSN1;SIGLEC1
MKRN1 human tf ARCHS4 coexpression,0.8613679018920452,-0.8260060636620551,-0.325875311044479,15/49,18.86%,EIF4E3;PLBD1;FAM65B;CLEC12A;GIMAP8;MAP3K1;GBP5;ATP11B;VNN2;PARP8;TMEM154;CDC42SE1;IL7R;PIK3CD;PPM1A
ZXDB human tf ARCHS4 coexpression,0.862261499855988,-0.8262214245308817,-0.3433577970380511,7/31,19.26%,FSTL3;CREBZF;SMIM13;CPT1A;MPP7;KCNMA1;CNOT1
FOXJ3 human tf ARCHS4 coexpression,0.8628693136888617,-0.8244004272019029,-0.3535006103176386,9/30,20.27%,FAM193B;MED14;KLF6;UBR4;UBXN7;ATP11B;CNOT1;FBXO32;RAI1
LGR4 human tf ARCHS4 coexpression,0.8640965245650426,-0.8218881738636558,-0.38188966218600784,3/17,10.89%,PDLIM5;SERPINH1;VCL
ZNF395 human tf ARCHS4 coexpression,0.864289713003993,-0.8210466310391041,-0.30137298550277086,8/59,8.93%,ITPKB;KLF13;MYO15B;TNRC18;TMEM259;POFUT2;H1F0;PFKFB4
