,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
DOT1L,-0.01603199392007704,0.6354982522245582,0.8812362449402869,-0.08214462323513926,0.05022111713564051
VILL,-0.01608499165207708,0.6343810923146846,0.8803105448278898,-0.08219727670102932,0.05016823929584651
VNN3,-0.01614423966657522,0.6331331634548334,0.8792019390386977,-0.0822561394115021,0.05010912487330528
ZNF28,-0.01615081062259238,0.6329948248093569,0.8792019390386977,-0.08226266760660443,0.050102568704831034
CD14,-0.016242244969561618,0.6310711838880467,0.877583365094315,-0.08235350635001029,0.05001133953286075
PTCH2,-0.01630988335712732,0.6296497760381817,0.876229041565572,-0.08242070343408249,0.049943852211676056
MBD3,-0.01632559543276837,0.6293197852787831,0.876229041565572,-0.08243631291098427,0.04992817514144081
RP11-529G21.2,-0.016334262614038763,0.6291377855598744,0.876229041565572,-0.08244492348229422,0.049919527256072266
SEMA3C,-0.016544925408244735,0.6247210700211172,0.876229041565572,-0.08265420729055784,0.04970933040896471
ERO1LB,-0.016581764045485604,0.6239500919203365,0.876229041565572,-0.08269080418532578,0.049672572649057854
SLC9A3R2,-0.016594247980689758,0.6236889147912182,0.876229041565572,-0.08270320615801137,0.04966011608097448
RNU11,-0.016613055888795608,0.6232955225771493,0.876229041565572,-0.08272189054527603,0.04964134936440252
RP1-60O19.1,-0.016644447397397417,0.6226391666003213,0.876229041565572,-0.08275307578678334,0.049610026502695394
MAP3K5,-0.016737514055101353,0.6206950221801814,0.876229041565572,-0.0828455301618707,0.04951716259703347
CDKN2B,-0.01679979460232795,0.6193954674166982,0.876229041565572,-0.08290740033176437,0.04945501709240729
RLIM,-0.016888779845222537,0.6175407465992976,0.876229041565572,-0.08299579835123494,0.0493662239056312
SLCO4C1,-0.017018118476491255,0.6148492747294111,0.8749090697094382,-0.08312428160771734,0.04923716255746713
TMEM176B,-0.017101852313424284,0.6131095670601994,0.8737034441804006,-0.08320746050300937,0.04915360705373178
FOXO4,-0.01710978553022774,0.6129448539905824,0.8737034441804006,-0.08321534109506354,0.04914569068470369
CCBE1,-0.017140708194861316,0.6123030097305899,0.8737034441804006,-0.08324605855623014,0.04911483361108189
FABP4,-0.01717234535824374,0.6116466420927797,0.8737034441804006,-0.08327748564471012,0.04908326342336188
IQSEC1,-0.01718140081456953,0.6114588282286011,0.8737034441804006,-0.08328648094741713,0.04907422711300627
LINC01118,-0.017223034905433192,0.6105956483249496,0.8737034441804006,-0.08332783833256516,0.049032680909614906
PLIN5,-0.017388041783645808,0.6071799570685282,0.8715970351467582,-0.08349174631343094,0.04886802009756725
SNORD3D,-0.017444540407428006,0.6060123781219025,0.8705592343086465,-0.08354786785096442,0.04881163913971067
CLTCL1,-0.01745737881453101,0.6057472043397121,0.8705592343086465,-0.08356062051278995,0.0487988274114293
CBX4,-0.017747213315290118,0.5997746011882865,0.8654080096732978,-0.08384851350225735,0.048509589398441216
METTL7B,-0.017747586386218192,0.5997669305007876,0.8654080096732978,-0.08384888406698819,0.0485092170881429
MAST3,-0.017763705660013087,0.5994355454653864,0.8654080096732978,-0.0838648950380718,0.048493130661290615
RP11-727F15.9,-0.01779375904625719,0.5988179196731462,0.8654080096732978,-0.0838947464094906,0.04846313842435103
