,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
IFI44L,0.22125496249975707,1.5675744007914479e-49,7.775169027925582e-48,0.1927316160043948,0.2494047179258376
LY6E,0.21173668385855623,2.193481591770417e-45,9.066390579317724e-44,0.18309790760431474,0.24001639275826045
LGALS2,0.20674080793145966,2.7282081712754835e-43,1.0023638910760295e-41,0.17804364598312475,0.2350866079053618
IFI6,0.20043422019625595,1.0027663083781574e-40,3.261456321020105e-39,0.17166551598655835,0.22886136764710224
IFITM3,0.19768699169776116,1.2340612914189252e-39,3.709663033598709e-38,0.16888787669045977,0.22614884790975956
CLEC12A,0.19606277055089225,5.346726485442872e-39,1.5599860804586263e-37,0.16724589116033137,0.2245449396796287
ISG15,0.14756472340766394,1.4284022685810684e-22,2.5763182735134907e-21,0.11829095186927846,0.17658221625003198
DUSP6,0.14432909244510636,1.1946694788696786e-21,2.0791440755065283e-20,0.11502989450647691,0.173377389277381
7SK.1,0.13809219344437104,6.245650477245943e-20,1.0074284997443862e-18,0.10874576574565142,0.16719813076921466
NCF1,0.1298317364821428,8.941309267440996e-18,1.3439058777729498e-16,0.10042636429110764,0.1590104943620193
MX1,0.12182243416869,8.171249972735438e-16,1.0736264864839145e-14,0.09236383402587713,0.15106796425907348
7SK.2,0.12148676881047582,9.810823661943093e-16,1.2722009245290913e-14,0.09202602222995547,0.15073501482488655
CSF3R,0.12064792263327745,1.5459828797024746e-15,1.9661730982882752e-14,0.09118184163516302,0.14990292687896414
GIMAP7,0.1176816078084834,7.525314780174258e-15,9.216187977694893e-14,0.08819700294722535,0.14696017798936248
RMRP,0.11502746826797025,2.9985628607317504e-14,3.5838245275251764e-13,0.08552673775901863,0.1443266848906652
CCR2,0.11469354375250196,3.5602093608959494e-14,4.229613995220098e-13,0.0851908144430494,0.1439953285639775
IFIT3,0.11414960873196917,4.7039843463238634e-14,5.522310617222809e-13,0.08464363790470499,0.14345556283825445
CMPK2,0.10936522225565828,5.150900412601488e-13,5.741228325056939e-12,0.07983150598177469,0.13870709771629774
OAS3,0.10776912542879051,1.1188149595121204e-12,1.224279373538628e-11,0.07822645928520978,0.13712268426999744
TNFSF10,0.10613847653737463,2.442514627312358e-12,2.5639941907871525e-11,0.07658682492373003,0.13550381655136617
ATP5EP2,0.10599938547112363,2.6092888853063104e-12,2.724646920235642e-11,0.07644697481265818,0.1353657231374307
MSRB1,0.10543187707218174,3.4132919309368705e-12,3.4907067994735835e-11,0.07587638146931665,0.13480227345625984
FAM65B,0.10428801133037492,5.8399233932000264e-12,5.7932040060544266e-11,0.0747263565600502,0.1336665307086436
HERC5,0.10064382077664512,3.109317274419982e-11,3.009212425584997e-10,0.07106306802263443,0.1300477042120795
OAS1,0.0955249621562844,2.9499347719376643e-10,2.612799369430503e-09,0.0659187304715516,0.12496315014902003
