compartment,count,mean,median,fold_vs_TNK,p_vs_TNK
Endothelial,635,0.0020194096627059416,0.001914574847666,2.43,6.25344188749397e-177
MSC,1883,0.0018971531090144628,0.0018095520666304,2.3,0.0
Myeloid_TAM,800,0.0015839830483681705,0.0015178877425360499,1.93,3.3634344783687894e-150
Pericyte,600,0.0020226970958849223,0.0019665652725568,2.5,2.4824324752394784e-191
T_NK,1500,0.0008671218929314919,0.0007878359039537499,1.0,
Tumor,1929,0.0029880697062304954,0.0030188641669805,3.83,0.0
