covariate,coef,HR_per_SD,ci_low,ci_high,p
risk,0.8449488822539655,2.3278588166330145,1.9322680114512032,2.804438430932906,6.032417428075303e-19
stage,0.5483980293038132,1.730478620168931,1.4168400509351406,2.113545740667978,7.656725075675148e-08
grade,-0.0042805883281849064,0.9957285603314956,0.8213011009300005,1.2072008240791783,0.965251822461869
age,0.38074007737736004,1.4633671937341894,1.2159265489722635,1.7611619266866794,5.610437979927472e-05
