Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
KEGG_2021_Human,Antigen processing and presentation,21/78,8.587580212426799e-28,1.74327878312264e-25,CD74;HSPA8;HSP90AA1;HLA-DRB5;HSP90AB1;HLA-A;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;CTSB;HLA-DPA1;HLA-DQB1;HSPA1A;LGMN
KEGG_2021_Human,Rheumatoid arthritis,17/93,1.5425839295541434e-19,1.5657226884974556e-17,HLA-DRB5;JUN;IL18;CXCL3;CXCL2;HLA-DMA;HLA-DMB;CTSL;IL1B;CCL3;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Phagosome,19/152,1.8557577901460212e-18,1.2557294379988076e-16,MSR1;HLA-DRB5;TUBB;HLA-A;TUBA1B;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;CTSL;HLA-DPB1;HLA-DRA;OLR1;CALR;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Leishmaniasis,15/77,8.28024653214831e-18,4.202225115065267e-16,HLA-DRB5;JUN;NFKBIA;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Epstein-Barr virus infection,20/202,2.3891546947434657e-17,9.699968060658469e-16,RB1;HLA-DRB5;JUN;CDKN1A;GADD45B;TNFAIP3;HLA-A;NFKBIA;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CYCS;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Graft-versus-host disease,12/42,1.1183405615491667e-16,3.783718899908014e-15,HLA-DMA;HLA-DRB5;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Type I diabetes mellitus,12/43,1.5418047417819083e-16,4.471233751167535e-15,HLA-DMA;HLA-DRB5;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Inflammatory bowel disease,13/65,9.591605110682657e-16,2.433869796835724e-14,HLA-DRB5;JUN;IL18;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Th17 cell differentiation,15/107,1.4750021673861136e-15,3.3269493331042345e-14,HLA-DRB5;JUN;HSP90AA1;HSP90AB1;NFKBIA;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Allograft rejection,11/38,1.8629131407841624e-15,3.78171367579185e-14,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Influenza A,17/172,6.956961604715002e-15,1.283875641597405e-13,HLA-DRB5;IL18;NFKBIA;SOCS3;DNAJB1;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;NLRP3;HLA-DRA;CYCS;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Asthma,10/31,1.0628037159689898e-14,1.7979096195142078e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Viral myocarditis,12/60,1.2678619752914175e-14,1.979815238339675e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;CYCS;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,18/219,2.7475710014998536e-14,3.9839779521747883e-13,RB1;HLA-DRB5;JUN;CDKN1A;HLA-A;NFKBIA;ZFP36;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Intestinal immune network for IgA production,11/48,3.290739655852703e-14,4.4534676675873253e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;CXCR4;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Toxoplasmosis,14/112,6.954391372650946e-14,8.823384054050888e-13,HSPA8;HLA-DRB5;NFKBIA;HLA-DMA;HLA-DMB;HLA-DPB1;CYCS;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HSPA1A
KEGG_2021_Human,Autoimmune thyroid disease,11/53,1.0767043532688977e-13,1.2857116689034484e-12,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),29/621,7.38707219455015e-16,1.3739954281863278e-12,CSF1R;CDKN1A;CXCL3;CXCL2;SOCS3;MT2A;UBB;UBC;CCL4;CCL3;MAP3K8;JUNB;B2M;HLA-DQA2;HLA-DQA1;HLA-DPA1;HSPA8;HLA-DRB5;HSP90AA1;IL18;HLA-A;SOD2;NFKBIA;IL1B;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1;LIMS1
KEGG_2021_Human,Staphylococcus aureus infection,13/95,1.697215828340105e-13,1.914082295294674e-12,HLA-DRB5;C5AR1;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Tuberculosis,16/180,2.388189549622675e-13,2.5515919924915947e-12,CD74;HLA-DRB5;IL18;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;IL1B;HLA-DPB1;HLA-DRA;CYCS;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Hematopoietic cell lineage,13/99,2.9359969873074573e-13,2.9800369421170695e-12,CSF1R;HLA-DRB5;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;CD9;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen (GO:0002478),14/103,2.104096361469888e-14,1.956809616166996e-11,CD74;HLA-DRB5;HLA-A;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Th1 and Th2 cell differentiation,12/92,2.7032266329256614e-12,2.613119078494806e-11,NFKBIA;HLA-DMA;HLA-DRB5;JUN;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Lipid and atherosclerosis,16/215,3.717121516777545e-12,3.4298893995720066e-11,HSPA8;JUN;HSP90AA1;HSP90AB1;IL18;CXCL3;SOD2;CXCL2;NFKBIA;IL1B;CCL3;NLRP3;CYCS;OLR1;NFE2L2;HSPA1A
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),13/100,3.3541575958204373e-13,1.5596832820565028e-10,CD74;HLA-DRB5;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),13/98,2.566088859568052e-13,1.5596832820565028e-10,CD74;HLA-DRB5;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),11/68,1.9757866493832283e-12,7.349926335705609e-10,MT2A;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-A;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),13/121,4.071531354497954e-12,1.2621747198943659e-09,HLA-DRB5;HLA-A;MT2A;CCL4;CCL3;HLA-DPB1;HLA-DRA;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Systemic lupus erythematosus,12/135,2.64845201842799e-10,2.3375467814820953e-09,HLA-DRB5;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Herpes simplex virus 1 infection,20/498,5.012152959142945e-10,4.239446044608408e-09,ZNF331;CD74;HLA-DRB5;HLA-A;NFKBIA;SOCS3;HLA-DMA;HLA-DMB;IL1B;SRSF2;HLA-DPB1;HLA-DRA;CYCS;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,peptide antigen assembly with MHC protein complex (GO:0002501),5/6,1.076267019259527e-10,2.8597952226038862e-08,HLA-DMA;HLA-DMB;HLA-DRA;CALR;HLA-DRB1
KEGG_2021_Human,Legionellosis,8/57,7.284355133705643e-09,5.914896368568981e-08,NFKBIA;HSPA8;IL1B;IL18;CYCS;CXCL3;CXCL2;HSPA1A
KEGG_2021_Human,NOD-like receptor signaling pathway,12/181,7.685385778495267e-09,6.000512742440535e-08,NFKBIA;JUN;HSP90AA1;HSP90AB1;IL1B;NAMPT;IL18;NLRP3;TNFAIP3;CXCL3;CXCL2;CTSB
KEGG_2021_Human,Cell adhesion molecules,11/148,1.0093797656128317e-08,7.589040459977958e-08,HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,IL-17 signaling pathway,9/94,2.5578351848475668e-08,1.854430509014486e-07,NFKBIA;HSP90AA1;JUN;HSP90AB1;IL1B;TNFAIP3;FOSB;CXCL3;CXCL2
KEGG_2021_Human,Lysosome,10/128,3.006422700193566e-08,2.1044958901354967e-07,CD63;CTSL;NPC2;LAPTM5;CD68;LIPA;LITAF;CTSC;LGMN;CTSB
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),19/485,2.124713815589157e-09,3.592697906359848e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
GO_Biological_Process_2021,response to unfolded protein (GO:0006986),8/49,2.08670030697598e-09,3.592697906359848e-07,DNAJB1;HSPA8;HSP90AA1;HSP90AB1;HSPB1;HSPE1;HERPUD1;HSPA1A
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),19/482,1.918664719820898e-09,3.592697906359848e-07,CSF1R;HSPA8;CDKN1A;HSP90AA1;IL18;CXCR4;CXCL2;ZFP36L1;SOCS3;ZFP36;MT2A;UBB;IL1B;UBC;CCL4;CCL3;JUNB;NFE2L2;HLA-DPA1
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),19/481,1.8542070908927467e-09,3.592697906359848e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),19/488,2.351111489671399e-09,3.644222808990669e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
KEGG_2021_Human,Apoptosis,10/142,8.081953183144407e-08,5.468788320594382e-07,NFKBIA;JUN;TUBA1B;GADD45B;BCL2A1;CTSL;LMNA;CYCS;CTSC;CTSB
KEGG_2021_Human,TNF signaling pathway,9/112,1.1842335881517237e-07,7.754819948219352e-07,NFKBIA;SOCS3;JUN;IL1B;TNFAIP3;MAP3K8;CXCL3;JUNB;CXCL2
GO_Biological_Process_2021,positive regulation of T cell cytokine production (GO:0002726),6/21,6.227297839520347e-09,8.909826139621419e-07,CD81;IL1B;IL18;NLRP3;HLA-A;B2M
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,11/193,1.5561378008946886e-07,9.87174917442568e-07,RB1;NFKBIA;ZFP36;JUN;CDKN1A;UBB;UBC;CYCS;HLA-A;CXCL3;CXCL2
KEGG_2021_Human,Osteoclast differentiation,9/127,3.486640179551126e-07,2.144811989239026e-06,NFKBIA;CSF1R;SOCS3;JUN;FCGR3A;FCGR2A;IL1B;FOSB;JUNB
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),10/120,1.615267558433456e-08,2.14599832763302e-06,ZFP36;IL1B;PDE4B;IL18;CCL3;NLRP3;TNFAIP3;CXCL3;CD68;CXCL2
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),11/158,1.9977749744987753e-08,2.4772409683784807e-06,HLA-DRB5;PDE4B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;NFKBID;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Human cytomegalovirus infection,11/225,7.213562736593667e-07,4.306921280966219e-06,RB1;NFKBIA;CDKN1A;IL1B;CCL4;CCL3;CYCS;CXCR4;HLA-A;CALR;B2M
KEGG_2021_Human,NF-kappa B signaling pathway,8/104,8.545053370705692e-07,4.956130955009301e-06,NFKBIA;GADD45B;BCL2A1;IL1B;CCL4;TNFAIP3;CXCL3;CXCL2
GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),8/75,6.669748184098648e-08,7.753582264014678e-06,CD74;HLA-DMB;CD81;IL1B;GPR183;IL18;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),17/485,7.994904802148565e-08,8.747366430586076e-06,RB1;CD74;GPX1;ARL6IP1;BCL2A1;PLAUR;HSPB1;SERPINB9;SOD2;NR4A2;NFKBIA;DAB2;UBB;UBC;PDK4;LGMN;HSPA1A
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),11/185,1.0127404656052387e-07,1.0464984811254132e-05,HLA-DRB5;PDE4B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;NFKBID;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,inflammatory response (GO:0006954),12/230,1.0941118473106189e-07,1.0710779136830266e-05,CSF1R;IL1B;C5AR1;CCL4;REL;IL18;CCL3;NLRP3;OLR1;CXCR4;CXCL3;CXCL2
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),21/764,1.3579545935843957e-07,1.262897772033488e-05,CSF1R;JUN;CDKN1A;BTG2;CD81;SOD2;ZFP36L1;NR4A3;SERTAD1;FTH1;ID2;IL1B;NAMPT;LMNA;CALR;SGK1;JUNB;LGMN;HBEGF;HSPA1A;LIMS1
KEGG_2021_Human,Necroptosis,9/159,2.3019330965868284e-06,1.298034496130906e-05,HSP90AA1;HSP90AB1;FTH1;CHMP1B;IL1B;NLRP3;TNFAIP3;GLUL;FTL
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649),8/86,1.9626426372001018e-07,1.73834062152009e-05,IL1B;PDE4B;IL18;LAPTM5;HLA-DPB1;HLA-A;HLA-DRB1;HLA-DPA1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,9/171,4.1876599883869135e-06,2.297553993628496e-05,PPP1R15A;HSPA8;DNAJB1;HSP90AA1;HSP90AB1;CALR;NFE2L2;HERPUD1;HSPA1A
GO_Biological_Process_2021,regulation of epithelial cell proliferation (GO:0050678),8/93,3.610877263167813e-07,3.052832595223696e-05,NR4A1;ZFP36;GPX1;NR4A3;C5AR1;B2M;ZFP36L1;LIMS1
GO_Biological_Process_2021,regulation of tau-protein kinase activity (GO:1902947),4/10,5.233145390909639e-07,4.232021924822577e-05,RB1;HSP90AA1;HSP90AB1;C5AR1
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,7/100,7.933921818618834e-06,4.2383845504726925e-05,CSF1R;CCL4;IL18;CCL3;CXCR4;CXCL3;CXCL2
GO_Biological_Process_2021,cellular response to oxygen-containing compound (GO:1901701),13/323,6.313277374719386e-07,4.892789965407525e-05,JUN;INSIG1;TNFAIP3;CXCL3;CXCL2;ZFP36L1;ZFP36;NR4A3;IL1B;PDK4;PDE4B;NLRP3;CD68
KEGG_2021_Human,Salmonella infection,10/249,1.3318826113134875e-05,6.75930425241595e-05,NFKBIA;JUN;TUBA1B;HSP90AA1;HSP90AB1;TUBB;IL1B;IL18;NLRP3;CYCS
KEGG_2021_Human,Pathogenic Escherichia coli infection,9/197,1.3155201893295597e-05,6.75930425241595e-05,NFKBIA;JUN;TUBA1B;FCGR2A;TUBB;IL1B;IL18;NLRP3;CYCS
GO_Biological_Process_2021,proteolysis involved in cellular protein catabolic process (GO:0051603),7/74,1.0421395156871091e-06,7.753517996712093e-05,UBB;CTSL;UBC;TNFAIP3;CTSC;CTSB;LGMN
GO_Biological_Process_2021,regulation of interleukin-2 production (GO:0032663),6/48,1.2003418591717477e-06,8.587060992536349e-05,ZFP36;IL1B;PDE4B;LAPTM5;TNFAIP3;VSIG4
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219),8/115,1.8360677288072289e-06,0.00012648466576227577,ZFP36;IL1B;PDE4B;NLRP3;TNFAIP3;CXCL3;CD68;CXCL2
GO_Biological_Process_2021,positive regulation of type 2 immune response (GO:0002830),4/14,2.439174931929421e-06,0.00015644363356512837,CD74;CD81;IL18;NLRP3
GO_Biological_Process_2021,antigen processing and presentation of endogenous peptide antigen (GO:0002483),4/14,2.439174931929421e-06,0.00015644363356512837,HLA-DRA;HLA-A;B2M;HLA-DRB1
GO_Biological_Process_2021,positive regulation of immune effector process (GO:0002699),5/32,3.1071269806950883e-06,0.00019264187280309544,HLA-DMB;CD81;IL1B;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,positive regulation of interferon-gamma production (GO:0032729),6/57,3.36570318810502e-06,0.0002019421912863012,IL1B;PDE4B;IL18;HLA-DPB1;HLA-A;HLA-DPA1
GO_Biological_Process_2021,cellular response to lipid (GO:0071396),10/219,4.318041482844674e-06,0.0002509861611903467,ZFP36;INSIG1;IL1B;PDK4;PDE4B;NLRP3;TNFAIP3;CXCL3;CD68;CXCL2
KEGG_2021_Human,MAPK signaling pathway,10/294,5.4852697324735447e-05,0.000265121370402888,CSF1R;HSPA8;NR4A1;JUN;DUSP2;GADD45B;IL1B;HSPB1;MAP3K8;HSPA1A
KEGG_2021_Human,Small cell lung cancer,6/92,5.3800880874857065e-05,0.000265121370402888,RB1;NFKBIA;CDKN1A;GADD45B;CKS2;CYCS
KEGG_2021_Human,Measles,7/139,6.698716876457247e-05,0.0003090544377092775,NFKBIA;HSPA8;JUN;IL1B;CYCS;TNFAIP3;HSPA1A
KEGG_2021_Human,Fluid shear stress and atherosclerosis,7/139,6.698716876457247e-05,0.0003090544377092775,THBD;JUN;HSP90AA1;HSP90AB1;CTSL;IL1B;NFE2L2
GO_Biological_Process_2021,positive regulation of T cell mediated immunity (GO:0002711),5/36,5.68368659740482e-06,0.0003203532445809989,IL1B;HLA-DRA;HLA-A;B2M;HLA-DRB1
GO_Biological_Process_2021,amyloid fibril formation (GO:1990000),6/63,6.082499774123087e-06,0.00033274851705496883,GSN;UBB;UBC;TGFBI;B2M;ITM2B
KEGG_2021_Human,Transcriptional misregulation in cancer,8/192,7.708524327564362e-05,0.000347740097443459,CSF1R;CDKN1A;NR4A3;GADD45B;BCL2A1;FUS;ID2;REL
GO_Biological_Process_2021,negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),6/64,6.672215996932767e-06,0.0003545806215512842,PLAUR;HSPB1;SOD2;HERPUD1;HSPA1A;NFE2L2
GO_Biological_Process_2021,regulation of keratinocyte apoptotic process (GO:1902172),3/6,7.195428504323599e-06,0.00037176380605671925,ZFP36;GSN;ZFP36L1
KEGG_2021_Human,Amoebiasis,6/102,9.578961300370091e-05,0.0004227237269511149,PRDX1;IL1B;HSPB1;SERPINB9;CXCL3;CXCL2
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),14/474,8.639449220540401e-06,0.0004343074473028418,CSF1R;CD74;CDKN1A;CD81;C5AR1;IL18;NR4A3;SERTAD1;ID2;IL1B;NAMPT;CALR;LGMN;HBEGF
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),17/684,8.90708087840577e-06,0.0004359781693114403,RB1;TGIF1;JUN;CREM;NR4A2;DNAJB1;ZFP36;DAB2;NR4A3;UBB;ID2;UBC;FOSB;CALR;SKIL;ATF3;HSPA1A
GO_Biological_Process_2021,receptor-mediated endocytosis (GO:0006898),8/143,9.313841217926349e-06,0.00044419858116264126,MSR1;DAB2;HSP90AA1;CD81;CTSL;CD9;CALR;CXCL16
KEGG_2021_Human,Toll-like receptor signaling pathway,6/104,0.00010667968791771825,0.0004607654605807831,NFKBIA;JUN;IL1B;CCL4;CCL3;MAP3K8
GO_Biological_Process_2021,regulation of cell cycle (GO:0051726),11/296,1.013960167437581e-05,0.0004714914778584751,RB1;PPP1R15A;NR4A1;JUN;CDKN1A;HSP90AB1;GADD45B;ID2;CKS2;CALR;JUNB
GO_Biological_Process_2021,regulation of mRNA stability (GO:0043488),8/146,1.0844570419811894e-05,0.0004919731946548811,HSPA8;ZFP36;UBB;FUS;UBC;HSPB1;ZFP36L1;HSPA1A
GO_Biological_Process_2021,response to host defenses (GO:0052200),3/7,1.2525548017011004e-05,0.0005294890752645562,UBB;UBC;B2M
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",23/1183,1.247854679062972e-05,0.0005294890752645562,CD74;JUN;CD81;IL18;LITAF;NR4A2;NFKBIA;NR4A1;DAB2;KLF6;NR4A3;UBB;SERTAD1;ID2;IL1B;NAMPT;UBC;REL;NLRP3;JUNB;ATF3;HLA-DRB1;NFE2L2
GO_Biological_Process_2021,modulation by symbiont of host defense response (GO:0052031),3/7,1.2525548017011004e-05,0.0005294890752645562,UBB;UBC;B2M
GO_Biological_Process_2021,purinergic nucleotide receptor signaling pathway (GO:0035590),4/21,1.4023274030740973e-05,0.0005796286599372936,HSP90AB1;IL1B;IL18;NLRP3
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,5/70,0.00014994909393541196,0.0006341597097685131,NFKBIA;JUN;CXCL3;CXCL2;HBEGF
GO_Biological_Process_2021,positive regulation of immune response (GO:0050778),6/75,1.679347019755069e-05,0.0006604515236916046,CD74;HLA-DMB;CD81;NLRP3;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,negative regulation of interleukin-2 production (GO:0032703),4/22,1.70439102888156e-05,0.0006604515236916046,ZFP36;LAPTM5;TNFAIP3;VSIG4
GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),6/75,1.679347019755069e-05,0.0006604515236916046,HLA-DMB;CD81;IL1B;HLA-DPB1;HLA-A;HLA-DPA1
GO_Biological_Process_2021,regulation of T cell proliferation (GO:0042129),6/76,1.8125697185866527e-05,0.0006880366686879947,HLA-DMB;IL1B;HLA-DPB1;VSIG4;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496),8/159,2.016299652644357e-05,0.0007500634707837008,ZFP36;IL1B;PDE4B;NLRP3;TNFAIP3;CXCL3;CD68;CXCL2
GO_Biological_Process_2021,negative regulation of apoptotic signaling pathway (GO:2001234),6/78,2.1045891860727115e-05,0.0007527953627106237,RB1;NR4A2;GPX1;PLAUR;HERPUD1;HSPA1A
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),12/381,2.083077413953662e-05,0.0007527953627106237,NFKBIA;CD74;DAB2;ARL6IP1;UBB;BCL2A1;UBC;PLAUR;LAPTM5;HSPB1;SERPINB9;HSPA1A
GO_Biological_Process_2021,negative regulation of gene expression (GO:0010629),11/322,2.217648977197968e-05,0.0007782692636958907,RB1;SRGN;MSR1;ZFP36;BTG2;ID2;REL;CCL3;CALR;LGMN;HSPA1A
KEGG_2021_Human,PPAR signaling pathway,5/74,0.00019503336120267048,0.0008079953535539207,FABP5;UBC;OLR1;PLIN2;PLTP
GO_Biological_Process_2021,regulation of cellular response to stress (GO:0080135),7/118,2.346524706266474e-05,0.0008082473988251188,HSPA8;DNAJB1;HSP90AA1;HSP90AB1;ATF3;IER3;HSPA1A
GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),17/742,2.5315388372114427e-05,0.0008561204067660515,CD74;JUN;HSP90AA1;ARL6IP1;GADD45B;BCL2A1;PLAUR;HSPB1;SERPINB9;NFKBIA;DAB2;UBB;UBC;CALR;SGK1;CTSB;HSPA1A
GO_Biological_Process_2021,regulation of mRNA catabolic process (GO:0061013),7/122,2.9108628720866717e-05,0.00096682231108593,HSPA8;ZFP36;UBB;UBC;HSPB1;ZFP36L1;HSPA1A
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),11/335,3.187276977232342e-05,0.0010400588030968,CSF1R;CD74;IL1B;PDE4B;IL18;LAPTM5;HLA-DPB1;NLRP3;HLA-A;HLA-DPA1;HSPA1A
GO_Biological_Process_2021,chaperone cofactor-dependent protein refolding (GO:0051085),4/26,3.4062696128119673e-05,0.0010738409287847,DNAJB1;HSPA8;HSPE1;HSPA1A
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),7/125,3.4036997799585765e-05,0.0010738409287847,JUN;GPX1;PRDX1;CYCS;SOD2;NFE2L2;HSPA1A
KEGG_2021_Human,Coronavirus disease,8/232,0.0002825999009410868,0.0011473555978208,NFKBIA;JUN;FCGR2A;IL1B;C5AR1;NLRP3;RPS27L;HBEGF
KEGG_2021_Human,Cytokine-cytokine receptor interaction,9/295,0.00029269754337074534,0.0011650510059659,CSF1R;IL1B;CCL4;IL18;CCL3;CXCR4;CXCL3;CXCL2;CXCL16
GO_Biological_Process_2021,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),6/87,3.923950910644795e-05,0.0012164247822998,DNAJB1;UBB;UBC;ATF3;HSPA1A;NFE2L2
GO_Biological_Process_2021,positive regulation of monocyte differentiation (GO:0045657),3/10,4.22685971544552e-05,0.0012479300112267,CD74;HLA-DRB1;ZFP36L1
GO_Biological_Process_2021,modulation by symbiont of host process (GO:0044003),3/10,4.22685971544552e-05,0.0012479300112267,UBB;UBC;B2M
