covariate,coef,exp(coef),p
risk_z,0.7084688853224992,2.0308793677156047,2.9535247510692234e-19
stage_z,0.5527379767341875,1.7380051269180976,8.415097560934864e-11
grade_z,0.10532576537879242,1.1110725003608335,0.20068259375055506
age_z,0.3784122424802637,1.4599646782969022,1.3135403785755662e-06
