Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,regulation of B cell differentiation (GO:0045577),1/18,0.0222717298790694,0.0777623111031916,ID2
GO_Biological_Process_2021,positive regulation of glial cell differentiation (GO:0045687),1/18,0.0222717298790694,0.0777623111031916,ID2
GO_Biological_Process_2021,interleukin-6-mediated signaling pathway (GO:0070102),1/18,0.0222717298790694,0.0777623111031916,SOCS3
GO_Biological_Process_2021,regulation of fatty acid metabolic process (GO:0019217),1/18,0.0222717298790694,0.0777623111031916,PDK4
GO_Biological_Process_2021,cellular response to zinc ion (GO:0071294),1/18,0.0222717298790694,0.0777623111031916,MT2A
GO_Biological_Process_2021,regulation of platelet aggregation (GO:0090330),1/18,0.0222717298790694,0.0777623111031916,CD9
GO_Biological_Process_2021,positive regulation of potassium ion transmembrane transporter activity (GO:1901018),1/14,0.0173639786153884,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,cellular response to low-density lipoprotein particle stimulus (GO:0071404),1/14,0.0173639786153884,0.0777623111031916,CD9
GO_Biological_Process_2021,cellular copper ion homeostasis (GO:0006878),1/14,0.0173639786153884,0.0777623111031916,MT2A
GO_Biological_Process_2021,positive regulation of long-term synaptic potentiation (GO:1900273),1/14,0.0173639786153884,0.0777623111031916,LGMN
GO_Biological_Process_2021,regulation of response to interferon-gamma (GO:0060330),1/14,0.0173639786153884,0.0777623111031916,SOCS3
GO_Biological_Process_2021,activation of cysteine-type endopeptidase activity (GO:0097202),1/14,0.0173639786153884,0.0777623111031916,LGMN
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",7/2244,0.017225360064527,0.0777623111031916,TGIF1;HSPA8;KLF6;FUS;ID2;CREM;LIMS1
GO_Biological_Process_2021,cellular response to starvation (GO:0009267),2/158,0.0165162091658715,0.0777623111031916,HSPA8;PDK4
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),2/158,0.0165162091658715,0.0777623111031916,LIMS1;LGMN
GO_Biological_Process_2021,polyamine metabolic process (GO:0006595),1/13,0.016133351108423,0.0777623111031916,SAT1
GO_Biological_Process_2021,sodium ion export across plasma membrane (GO:0036376),1/13,0.016133351108423,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213),1/13,0.016133351108423,0.0777623111031916,BTG2
GO_Biological_Process_2021,self proteolysis (GO:0097264),1/8,0.0099579917015561,0.0777623111031916,LGMN
GO_Biological_Process_2021,response to hepatocyte growth factor (GO:0035728),1/8,0.0099579917015561,0.0777623111031916,LGMN
GO_Biological_Process_2021,negative regulation of muscle cell differentiation (GO:0051148),1/8,0.0099579917015561,0.0777623111031916,ID2
GO_Biological_Process_2021,NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356),1/14,0.0173639786153884,0.0777623111031916,NAMPT
GO_Biological_Process_2021,regulation of nitric-oxide synthase biosynthetic process (GO:0051769),1/14,0.0173639786153884,0.0777623111031916,NAMPT
GO_Biological_Process_2021,positive regulation of T-helper cell differentiation (GO:0045624),1/14,0.0173639786153884,0.0777623111031916,NFKBID
GO_Biological_Process_2021,neuron fate commitment (GO:0048663),1/14,0.0173639786153884,0.0777623111031916,ID2
GO_Biological_Process_2021,negative regulation of cellular component movement (GO:0051271),1/15,0.0185931285667873,0.0777623111031916,CD9
GO_Biological_Process_2021,regulation of integrin-mediated signaling pathway (GO:2001044),1/14,0.0173639786153884,0.0777623111031916,LIMS1
GO_Biological_Process_2021,embryonic digestive tract morphogenesis (GO:0048557),1/9,0.0111960320481715,0.0777623111031916,ID2
GO_Biological_Process_2021,regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069),1/9,0.0111960320481715,0.0777623111031916,HERPUD1
GO_Biological_Process_2021,negative regulation of platelet aggregation (GO:0090331),1/9,0.0111960320481715,0.0777623111031916,CD9
GO_Biological_Process_2021,associative learning (GO:0008306),1/9,0.0111960320481715,0.0777623111031916,LGMN
GO_Biological_Process_2021,positive regulation of blood pressure (GO:0045777),1/9,0.0111960320481715,0.0777623111031916,ID2
GO_Biological_Process_2021,regulation of potassium ion import (GO:1903286),1/8,0.0099579917015561,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,postsynapse organization (GO:0099173),1/8,0.0099579917015561,0.0777623111031916,LGMN
GO_Biological_Process_2021,mammary gland epithelial cell differentiation (GO:0060644),1/8,0.0099579917015561,0.0777623111031916,ID2
GO_Biological_Process_2021,spermidine metabolic process (GO:0008216),1/8,0.0099579917015561,0.0777623111031916,SAT1
GO_Biological_Process_2021,cellular response to hepatocyte growth factor stimulus (GO:0035729),1/8,0.0099579917015561,0.0777623111031916,LGMN
GO_Biological_Process_2021,cellular potassium ion homeostasis (GO:0030007),1/13,0.016133351108423,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,positive regulation of ERAD pathway (GO:1904294),1/13,0.016133351108423,0.0777623111031916,HERPUD1
GO_Biological_Process_2021,positive regulation of T-helper 17 type immune response (GO:2000318),1/12,0.0149012443701484,0.0777623111031916,NFKBID
GO_Biological_Process_2021,positive regulation of sodium ion transmembrane transport (GO:1902307),1/12,0.0149012443701484,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,regulation of astrocyte differentiation (GO:0048710),1/12,0.0149012443701484,0.0777623111031916,ID2
