cohort,n,events,cindex,auc_1yr,auc_3yr,auc_5yr
TCGA-KIRC_train,422,141,0.7693928831968874,0.8173170597603601,0.8094353371611536,0.8261056208107004
TCGA-KIRC_heldout,182,61,0.6927781013395458,0.8016148889665834,0.7222864503446015,0.7042154987134799
Braun_CheckMate_metastatic_ICB,311,80,0.4405773857257418,,,
CPTAC_ccRCC_primary,110,21,0.6932440657334145,0.7291666666666667,0.6753506662659051,
