agent,high_mean_logIC50,low_mean_logIC50,delta,p,fdr
sunitinib,2.704054278602335,2.7215322338828654,-0.0174779552805302,0.9876230682809803,0.9876230682809803
pazopanib,3.2571786289864324,3.2980657037262016,-0.04088707473976916,0.1593821734629749,0.19922771682871862
axitinib,2.068262576116151,2.1875376973804697,-0.1192751212643186,0.0006819364330847893,0.0011365607218079823
cabozantinib,2.713506944552226,2.8667430506092675,-0.15323610605704152,4.50504867717557e-08,2.2525243385877848e-07
temsirolimus,-2.098210455003383,-1.951185012996022,-0.1470254420073609,3.1750367732885334e-05,7.937591933221333e-05
