signature,high_mean,low_mean,delta,p,fdr
CD8_Tcell,0.0069985352474514284,0.000996162807081931,0.0060023724403694976,0.0004860773711384908,0.0038886189691079262
cytotoxicity,0.0010687823749262345,0.0,0.0010687823749262345,0.04514293252010007,0.12047921465001686
exhaustion,0.006392327144629274,0.009780002681636323,-0.0033876755370070497,0.26080942606126867,0.34926707629983983
Treg,0.0,0.0,0.0,1.0,1.0
MHC_I,0.6852637252940333,0.6706153571971349,0.014648368096898401,0.07785800935566511,0.15571601871133023
MHC_II,0.6150240357045723,0.6063772442335609,0.008646791471011439,0.2619503072248799,0.34926707629983983
panTAM,0.17492033309291194,0.16216838240115403,0.012751950691757913,0.630480573291279,0.7205492266186047
immune_infiltration,0.011403842370992066,0.004385286210740279,0.007018556160251787,0.04517970549375632,0.12047921465001686
