metric,high_mean,low_mean,delta,p,fdr
TIDE,0.3010862953155252,0.060873007547820115,0.24021328776770512,1.3188087516546203e-08,3.0772204205274476e-08
Dysfunction,0.21186987173609398,-0.13645649326076623,0.3483263649968602,6.876686382565418e-18,4.8136804677957926e-17
Exclusion,0.00784053277699675,-0.06671803916720757,0.07455857194420433,0.17605604414835063,0.17605604414835063
MDSC,0.003895835053709157,-0.010786501426109813,0.01468233647981897,4.462591720119996e-05,6.247628408167994e-05
CAF,0.003524627213642965,-0.0036526152916748177,0.007177242505317783,0.10502897013287157,0.12253379848835018
TAM M2,-0.0059290594072220395,0.004614851931511433,-0.010543911338733471,5.960357114869592e-09,2.0861249902043572e-08
CTL,0.036890059514526334,-0.03638255855561943,0.07327261807014576,3.2804381718203358e-06,5.740766800685588e-06
