outcome,module,coef,ci_low,ci_high,p,n
CD8_exhaustion,complement_C1Q,0.03826791800672008,-0.3784749602540107,0.45501079626745083,0.8510093748684632,31
CD8_exhaustion,CLEC_LAM8,-0.1479927514101821,-0.5695724796453844,0.2735869768250202,0.4750490698320152,31
CD8_exhaustion,RCC_skew_CORE,-0.12701544899751954,-0.5500252177368445,0.2959943197418054,0.5406102877399553,31
CD8_exhaustion,APOE_TREM2,-0.29364973206121125,-0.6894289192211004,0.10212945509867788,0.1384638946207079,31
CD8_exhaustion,MERTK_GPNMB,-0.3161898474747168,-0.7130440977305621,0.08066440278112846,0.11290982823154339,31
CD8_exhaustion,panTAM,-0.025471042418898544,-0.47419703900696314,0.4232549541691661,0.9075440586102926,31
CD8_exhaustion,SPP1_TAM,-0.3446508431802286,-0.8107797793734897,0.12147809301303253,0.139767978464108,31
CD8_exhaustion,ATF3_NFkB,0.24604967503760927,-0.4774365074823194,0.9695358575575379,0.48878848090183813,31
cytotoxicity,complement_C1Q,0.002531388423536263,-0.305174885368267,0.31023766221533955,0.9865689448306577,31
cytotoxicity,CLEC_LAM8,0.037470574666559474,-0.2766951656389072,0.35163631497202613,0.8073068564243494,31
cytotoxicity,RCC_skew_CORE,0.035125708935356166,-0.2792068598499628,0.3494582777206751,0.8192297690159188,31
cytotoxicity,APOE_TREM2,0.034728300681493414,-0.27149540823718643,0.34095200960017324,0.8165929206473777,31
cytotoxicity,MERTK_GPNMB,0.055004077211102065,-0.2536873915567882,0.36369554597899234,0.7157948274968979,31
cytotoxicity,panTAM,-0.005642579901025888,-0.33679667673283303,0.32551151693078123,0.9721860081386983,31
cytotoxicity,SPP1_TAM,0.1109334374284807,-0.24685143352197442,0.46871830837893586,0.5276033241508131,31
cytotoxicity,ATF3_NFkB,-0.29650802302799145,-0.8206193503960932,0.2276033043401104,0.25385958984831897,31
Treg_fraction,complement_C1Q,0.30760290108758237,-0.2253803963579296,0.8405861985330944,0.24524349224332367,32
Treg_fraction,CLEC_LAM8,0.27695510769596765,-0.2487583357672679,0.8026685511592032,0.28770461219634935,32
Treg_fraction,RCC_skew_CORE,0.2767276219296591,-0.25148539004086895,0.8049406339001872,0.2903252547931096,32
Treg_fraction,APOE_TREM2,0.22284314338292927,-0.253437931661045,0.6991242184269035,0.34384478515638905,32
Treg_fraction,MERTK_GPNMB,0.2612629562543253,-0.23449457618367542,0.757020488692326,0.28754397762553285,32
Treg_fraction,panTAM,0.2697464311437401,-0.22118183894913607,0.7606747012366162,0.26798112832861926,32
Treg_fraction,SPP1_TAM,0.1713273138499844,-0.4030873070766023,0.745741934776571,0.5439612249518003,32
Treg_fraction,ATF3_NFkB,-0.055080665298273504,-0.7726261794753189,0.6624648488787719,0.8754433508225087,32
MHC_I_APM,complement_C1Q,0.19298154566190695,-0.8307629345079551,1.2167260258317691,0.669241791368212,14
MHC_I_APM,CLEC_LAM8,0.2800209948917913,-0.6976185412117857,1.2576605309953681,0.5199712315270758,14
MHC_I_APM,RCC_skew_CORE,0.2672807499162744,-0.7188003156498703,1.253361815482419,0.5419683687045607,14
MHC_I_APM,APOE_TREM2,0.24115728470172515,-0.6663738109188664,1.1486883803223167,0.5497190734237309,14
MHC_I_APM,MERTK_GPNMB,0.38350867079487394,-0.5054382689120059,1.272455610501754,0.3416160783336028,14
MHC_I_APM,panTAM,0.41207114590188765,-0.3785472174295561,1.2026895092333314,0.2575678293362482,14
MHC_I_APM,SPP1_TAM,0.49665188422030043,-0.4346320550584006,1.4279358234990014,0.2476921155107729,14
MHC_I_APM,ATF3_NFkB,0.08835980900232233,-1.1155101390099311,1.2922297570145758,0.8671273506711356,14
MHC_II_APC,complement_C1Q,0.19822489870592572,-0.17992775002656333,0.5763775474384147,0.2900566230877029,32
MHC_II_APC,CLEC_LAM8,0.2915520876769922,-0.06826041680015915,0.6513645921541436,0.10744282498201665,32
MHC_II_APC,RCC_skew_CORE,0.28441753654640106,-0.07820678575787632,0.6470418588506784,0.11856280685016131,32
MHC_II_APC,APOE_TREM2,0.3325916643727553,0.01980398100153352,0.6453793477439771,0.038110238844524955,32
MHC_II_APC,MERTK_GPNMB,0.3391151523336214,0.010267185343912466,0.6679631193233303,0.04377504718555268,32
MHC_II_APC,panTAM,-0.06020260448182507,-0.41507137124258486,0.2946661622789347,0.7292914057108927,32
MHC_II_APC,SPP1_TAM,0.2201551332817075,-0.17792419038157858,0.6182344569449936,0.2649543176561473,32
MHC_II_APC,ATF3_NFkB,-0.032082015881957776,-0.5387732357967348,0.47460920403281914,0.8971182593581617,32
