Sample,pid,cond,complement_C1Q,CLEC_LAM8,RCC_skew_CORE,APOE_TREM2,MERTK_GPNMB,SPP1_TAM,panTAM,ATF3_NFkB,CD8_exhaustion,cytotoxicity,MHC_I_APM,MHC_II_APC,Treg_fraction,TAM_fraction,CD8_fraction,malignant_fraction,n_cells
GSM4274678_BMET1-Tumor.count,BMET1,Tumor,0.4311536761597295,0.23314576285887761,0.2850501025152329,0.3209995385192236,0.07611701667963011,0.2734761904761905,0.3308759018759019,0.34530043802584787,0.034492156306476694,0.11960697887970616,0.18771196909462526,0.4865215580454834,0.08586762075134168,0.0721184803605924,0.1699935608499678,0.0231809401159047,1553.0
GSM4274679_BMET1-Involved.count,BMET1,Involved,0.0244650158967979,0.013046490018684567,0.01571575830879142,0.21528556274282115,0.004963351415307176,0.1269191361125063,0.2529730453708354,0.38396280530145216,0.03191570664326757,0.2220853432282004,0.1993602777678688,0.4481628721235217,0.0248015873015873,0.0967238689547582,0.19110764430577223,0.01326053042121685,1282.0
GSM4274680_BMET1-Distal.count,BMET1,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,711.0
GSM4274681_BMET10-Involved.count,BMET10,Involved,0.078767004335048,0.03178349035041064,0.03964812762622999,0.21116140961502725,0.008015938936204222,0.1683876992974633,0.27789053889192716,0.08914761515826597,0.012802731249333189,0.21087179487179483,0.26891092087758145,0.2855169662825433,0.0,0.025915492957746478,0.0036619718309859155,0.012112676056338029,3550.0
GSM4274682_BMET10-Tumor.count,BMET10,Tumor,0.6284224250325945,0.3373009200878053,0.4177388005162414,0.38863159856497226,0.09412257434036018,0.34232540792540794,0.2996960372960373,0.3718789407313997,,,0.15181164243419268,0.5006297522974297,0.0,0.06108597285067873,0.0,0.09276018099547512,884.0
GSM4274683_BMET11-Tumor.count,BMET11,Tumor,0.11390651938239943,0.05618854255361191,0.07126985892671389,0.22713940030368301,0.010646174369474662,0.14526256649333572,0.24946781423704498,0.3500894130623008,0.06564804000291992,0.18838509496882702,0.15115344604022146,0.4579057064084485,0.04233409610983982,0.2844410491469315,0.10644257703081232,0.010440539852304559,3927.0
GSM4274684_BMET11-Involved.count,BMET11,Involved,0.027896749981069106,0.01091055229743004,0.014434007342822476,0.18751412014353688,0.00028656032094755943,0.0759908466819222,0.2167888495943416,0.05703560596271704,0.029867853290183384,0.2137957351290685,,0.4486670489667821,0.0,0.0,0.027921406411582212,0.0,1934.0
GSM4274685_BMET11-Distal.count,BMET11,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2433.0
GSM4274686_BMET2-Tumor.count,BMET2,Tumor,0.00948587958651518,0.004939962227359768,0.005976329865808338,0.19240597190513908,0.0018025210572851225,0.08469609557109557,0.19319609557109554,0.1648387875974966,0.010017599272718797,0.07712350394703335,0.1581622339657512,0.47110751923141203,0.0063371356147021544,0.05754060324825986,0.05522041763341067,0.03248259860788863,2155.0
GSM4274687_BMET2-Involved.count,BMET2,Involved,0.01578190132664011,0.007345197356263869,0.008993037871922932,0.2344370030229235,0.00236031568703183,0.06320227446085569,0.22325608487622217,0.028013627162068476,0.025343687575781364,0.1846784829426339,0.09682635940974328,0.4471931828567158,0.037703513281919454,0.005034324942791762,0.07276887871853546,0.011899313501144164,2185.0
GSM4274688_BMET2-Distal.count,BMET2,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2034.0
GSM4274689_BMET3-Tumor.count,BMET3,Tumor,0.06245257668682006,0.030741340633850693,0.0378333690411778,0.23377865710130313,0.009293572564489894,0.13455126111413537,0.251532571221194,0.3382397318296013,0.0322595156548849,0.1451626468769326,0.059025672124519916,0.36479445946124395,0.016412661195779603,0.20108695652173914,0.23301630434782608,0.004076086956521739,1472.0
GSM4274690_BMET3-Involved.count,BMET3,Involved,0.007413437697723345,0.0035315616238371793,0.00422273887137172,0.22940998572174004,0.0014374100309518661,0.08515940569126164,0.2487640392848149,0.1455591842466871,0.018315978176671254,0.2527780092846438,,0.41044398017601813,0.004824784154393093,0.009288439210482667,0.13750207331232378,0.0003317299718029524,6029.0
GSM4274691_BMET3-Distal.count,BMET3,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2729.0
GSM4274692_BMET5-Tumor.count,BMET5,Tumor,0.13978850620151206,0.07707024522012812,0.09396459614773746,0.24564395109951917,0.025950343839895307,0.20843240568954852,0.2500719851576994,0.22970986208691127,0.021848230749943666,0.14506622286942655,0.18044606158614646,0.462685952578817,0.0425531914893617,0.07414993854977468,0.17902498975829578,0.12290045063498566,2441.0
GSM4274693_BMET5-Distal.count,BMET5,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1986.0
GSM4274694_BMET5-Involved.count,BMET5,Involved,0.027095268968011395,0.011975463474463146,0.014853623270050513,0.20584863840317563,0.003274941955730983,0.0842514765137716,0.2233385218303251,0.09243416577914472,0.015982576282940364,0.2810695592286501,0.2337013304887226,0.45210673135233476,0.01529497450837582,0.002442002442002442,0.14326414326414327,0.03378103378103378,2457.0
GSM4274695_BMET6-Distal.count,BMET6,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4654.0
GSM4274696_BMET6-Involved.count,BMET6,Involved,0.03154444994917813,0.01423424652980093,0.018316925986057393,0.17813411485834277,0.0019125125742907403,0.048448519779931885,0.19712234739324075,0.08216143577791425,0.01783322970969439,0.2148631138975966,0.19787750151607036,0.44957139740656904,0.012578616352201259,0.0018231540565177757,0.02643573381950775,0.009115770282588878,1097.0
GSM4274697_BMET6-Tumor.count,BMET6,Tumor,0.2040833117844801,0.19749235149521635,0.22960546845101767,0.4248234373989286,0.09995242542244462,0.37659829361576935,0.32664995586937334,0.3020006955865622,0.019872419118442668,0.20854932301740817,0.2040630685263796,0.5733873039177689,0.029947916666666668,0.26928471248246844,0.19775596072931276,0.004207573632538569,1426.0
GSM4274698_BMET7-Tumor.count,BMET7,Tumor,0.024467949534854084,0.00980167079572193,0.01305304370370246,0.21209423987141177,0.0,0.11835138084445564,0.2510850331570553,0.11959837999754444,0.02477402075661199,0.13239521653314756,,0.5098178120262851,0.01845018450184502,0.02202339986235375,0.17962835512732278,0.0006882312456985547,1453.0
GSM4274699_BMET7-Distal.count,BMET7,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1660.0
GSM4274700_BMET8-Involved.count,BMET8,Involved,0.003114771407454334,0.0016050818729747157,0.0015602190312657854,0.22153005435125656,0.0017276925780312085,0.08964482967143722,0.2581742928173083,0.05171803332539038,0.036161398642236664,0.1688708133971292,,0.35172832019405703,0.007590132827324478,0.005747126436781609,0.07279693486590039,0.0,1044.0
GSM4274701_BMET8-Tumor.count,BMET8,Tumor,0.007629829062917857,0.0029522809450017676,0.003821854946009793,0.19856916206369724,0.00032843947232982096,0.09955766621438264,0.22955133423790142,0.2473708416025519,0.035800970873786406,0.18560676532769557,,0.3658701027888095,0.013961605584642234,0.1247148288973384,0.1961977186311787,0.0,1315.0
GSM4274702_BMET8-Distal.count,BMET8,Distal,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1697.0
GSM4274703_BMM2-Benign.count,BMM2,Benign,0.0,0.0,0.0,0.20047751186736723,0.0,0.07522480620155038,0.18194221282593373,0.03604862964374974,0.03304753154049961,0.1331962071480671,,0.6259645777580664,0.025897586815773983,0.000234192037470726,0.21405152224824356,0.000234192037470726,4270.0
GSM4274704_BMM3-Benign.count,BMM3,Benign,0.011938961163321979,0.0055763946775338824,0.007426175082998427,0.21848853802010085,0.0,0.07245608628659476,0.20245095017976372,0.12512606382431332,0.03166393200565403,0.1332292301000435,,0.6333697135136535,0.021690013556258474,0.0005232862375719519,0.21873364730507588,0.0,3822.0
