module,n_patients,TAM_TIM_mean,Mono_mean,delta,wilcoxon_p
complement_C1Q,7,0.13432314423279149,0.021668001871087743,0.11265514236170374,0.015625
CLEC_LAM8,7,0.08536099067055616,0.017274020319553725,0.06808697035100243,0.015625
APOE_TREM2,7,0.2619116784924941,0.2205330257613994,0.04137865273109466,0.015625
SPP1_TAM,7,0.1744581080497192,0.11824205154621001,0.056216056503509214,0.296875
ATF3_NFkB,7,0.23488180993979604,0.132500295995341,0.10238151394445509,0.015625
