,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
NUCB2,-0.028920657,0.033127291,0.160746817,-0.05548434,-0.002316062
APOBR,-0.029210472,0.03140527,0.153523903,-0.055773503,-0.002606121
RNF24,-0.029313323,0.030812889,0.151190109,-0.055876121,-0.002709059
FAM173A,-0.029408255,0.03027466,0.149385281,-0.055970837,-0.002804072
GZMA,-0.029415239,0.03023538,0.149385281,-0.055977806,-0.002811062
CLEC4D,-0.029451134,0.030034208,0.149037675,-0.056013619,-0.002846988
STEAP4,-0.029537004,0.029557609,0.147228243,-0.056099294,-0.002932932
MPO,-0.029539529,0.029543691,0.147228243,-0.056101814,-0.002935459
PPP1R35,-0.029561516,0.029422758,0.147113791,-0.05612375,-0.002957465
ROGDI,-0.029593972,0.02924502,0.146721964,-0.056156132,-0.002989949
EME2,-0.02961432,0.02913406,0.146505884,-0.056176434,-0.003010315
IPCEF1,-0.029802855,0.028123077,0.141964862,-0.056364538,-0.003199015
RAB27A,-0.029852356,0.0278627,0.140920963,-0.056413926,-0.00324856
CD69,-0.029860875,0.027818101,0.140920963,-0.056422425,-0.003257086
DGAT2,-0.029932593,0.027445068,0.139884743,-0.056493978,-0.003328867
COL9A3,-0.030031654,0.026936907,0.138161008,-0.056592812,-0.003428017
ANKRD52,-0.03010744,0.026553646,0.13693351,-0.056668423,-0.00350387
SPP1,-0.030201326,0.026085389,0.13504837,-0.056762092,-0.00359784
LRP3,-0.030260474,0.025794067,0.134067979,-0.056821103,-0.003657041
ZNF441,-0.03032426,0.025483055,0.13350684,-0.056884741,-0.003720885
1-Mar,-0.03034413,0.025386837,0.133268227,-0.056904565,-0.003740773
AMFR,-0.03036746,0.025274265,0.132942635,-0.056927841,-0.003764124
SUSD1,-0.030541132,0.024449757,0.129122208,-0.057101109,-0.003937955
ULK1,-0.0309642,0.022538107,0.120969841,-0.057523187,-0.004361416
C1orf228,-0.030969978,0.022512925,0.120969841,-0.057528951,-0.004367199
IFI27,-0.031109667,0.021911505,0.118690394,-0.057668311,-0.004507021
CA2,-0.031154745,0.02172043,0.118270664,-0.057713283,-0.004552142
RP11-640M9.1,-0.031167218,0.021667819,0.118228971,-0.057725726,-0.004564626
KLRB1,-0.031331149,0.020986569,0.115228972,-0.057889269,-0.004728714
BCL2L15,-0.031461932,0.020456529,0.113264571,-0.058019741,-0.004859623
CMTM2,-0.031465146,0.020443652,0.113264571,-0.058022948,-0.00486284
CBX6,-0.031471711,0.020417369,0.113264571,-0.058029497,-0.004869412
BCL6,-0.031484972,0.020364373,0.113264571,-0.058042726,-0.004882685
7SK-2,-0.031520513,0.020222922,0.113162306,-0.058078183,-0.00491826
NISCH,-0.031686905,0.019572032,0.11046018,-0.058244177,-0.005084814
ANKRD49,-0.0316889,0.019564338,0.11046018,-0.058246168,-0.005086812
PATL2,-0.031693588,0.019546275,0.11046018,-0.058250845,-0.005091504
LTB,-0.03178636,0.01919178,0.109965974,-0.058343395,-0.005184368
VCAN,-0.031830283,0.019025913,0.109492674,-0.058387213,-0.005228334
C5orf30,-0.031842823,0.018978789,0.109460998,-0.058399723,-0.005240887
CPD,-0.032048026,0.01822202,0.106692198,-0.058604432,-0.005446293
CYP4F3,-0.032192404,0.017705523,0.104351708,-0.058748461,-0.005590815
G0S2,-0.032241757,0.017531931,0.103615682,-0.058797695,-0.005640218
PRKD2,-0.032251707,0.017497115,0.103615682,-0.058807621,-0.005650178
GBP5,-0.032400408,0.016983968,0.101058453,-0.058955961,-0.00579903
SDF4,-0.032459721,0.016782998,0.100316556,-0.05901513,-0.005858403
VNN1,-0.032545648,0.016495556,0.098823033,-0.059100848,-0.005944418
AGFG1,-0.032545759,0.016495187,0.098823033,-0.059100959,-0.005944529
ITGAM,-0.032643751,0.016172673,0.097332105,-0.059198712,-0.006042622
RP5-1112D6.4,-0.032696602,0.016001039,0.096741916,-0.059251434,-0.006095528
GPR27,-0.032962539,0.015161482,0.092731852,-0.059516719,-0.006361742
RHOU,-0.032980913,0.015104934,0.092601345,-0.059535048,-0.006380135
VAMP4,-0.032982992,0.015098549,0.092601345,-0.059537121,-0.006382216
CDC42EP3,-0.033008203,0.015021291,0.092519896,-0.059562271,-0.006407453
MSL1,-0.033118303,0.014687959,0.090892544,-0.0596721,-0.006517669
AC092580.4,-0.033475443,0.013651137,0.085279074,-0.060028355,-0.00687519
GCN1L1,-0.033496804,0.013591223,0.085106943,-0.060049663,-0.006896574
RNF135,-0.033912288,0.012471176,0.079416929,-0.060464109,-0.007312509
MEGF9,-0.034042233,0.012138055,0.077671741,-0.060593728,-0.007442597
EIF4E3,-0.034244107,0.01163617,0.075191956,-0.060795093,-0.007644696
AKTIP,-0.03446366,0.011111304,0.072333488,-0.06101409,-0.007864495
CD8A,-0.034497553,0.011032181,0.071996617,-0.061047897,-0.007898425
KLRD1,-0.034635677,0.010714878,0.070450323,-0.06118567,-0.008036706
IFFO2,-0.034649199,0.010684256,0.070425043,-0.061199157,-0.008050243
FAM73B,-0.034707317,0.010553521,0.069913751,-0.061257127,-0.008108428
FOLR3,-0.034720446,0.010524185,0.069895469,-0.061270223,-0.008121572
STMN1,-0.03490584,0.010117612,0.067880917,-0.061455143,-0.008307179
BRPF3,-0.034928888,0.010068059,0.067880917,-0.061478131,-0.008330252
