,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
VPS11,-0.027005108,0.123699708,0.25052475,-0.061325251,0.007378816
RNF14,-0.027044426,0.123153573,0.249725441,-0.061364449,0.007339472
SYNGAP1,-0.027046553,0.123124083,0.249725441,-0.06136657,0.007337344
CAMKMT,-0.027048909,0.123091425,0.249725441,-0.061368918,0.007334986
EXOC3,-0.027132489,0.121937181,0.248215779,-0.061452244,0.007251349
CES1,-0.027208369,0.120896608,0.246861862,-0.061527894,0.007175416
KIAA1919,-0.02721558,0.12079809,0.246852352,-0.061535082,0.007168201
ADAM19,-0.027254809,0.120263204,0.24614181,-0.061574192,0.007128945
PKD1,-0.027264385,0.120132913,0.246066637,-0.061583739,0.007119362
SMAD4,-0.02726946,0.120063917,0.246066637,-0.061588798,0.007114284
TRIM59,-0.027303531,0.119601464,0.245551796,-0.061622765,0.007080189
AC142528.1,-0.027323865,0.119326124,0.245177895,-0.061643037,0.00705984
1-Mar,-0.027331462,0.119223389,0.245177895,-0.061650611,0.007052239
LMNA,-0.027406191,0.118216458,0.243468508,-0.061725112,0.006977457
RFNG,-0.027485248,0.117158496,0.242047796,-0.061803926,0.006898345
UBQLN2,-0.02772474,0.11399882,0.235890556,-0.062042681,0.006658681
ZNF682,-0.027753752,0.113620653,0.235293162,-0.062071604,0.006629648
CENPB,-0.027822018,0.112734709,0.233642462,-0.06213966,0.006561332
CEACAM4,-0.0278239,0.112710362,0.233642462,-0.062141536,0.006559448
FAM120C,-0.027849765,0.112376172,0.23345129,-0.062167321,0.006533564
F11R,-0.027976842,0.110745619,0.230793169,-0.062294004,0.006406394
XRRA1,-0.02801302,0.110284832,0.230015152,-0.06233007,0.006370189
RP11-434H6.7,-0.028029459,0.110075962,0.22976173,-0.062346458,0.006353738
MT2A,-0.028064282,0.109634534,0.229204154,-0.062381173,0.006318889
PCED1A,-0.028108804,0.109072197,0.228391623,-0.062425556,0.006274334
ARAP3,-0.028129354,0.108813407,0.228031283,-0.062446042,0.006253768
ABHD17A,-0.028159802,0.108430857,0.227410808,-0.062476396,0.006223296
SENP7,-0.02817337,0.108260735,0.227235223,-0.062489922,0.006209718
AP1G2,-0.028195183,0.107987673,0.226843114,-0.062511667,0.006187889
CD27,-0.028370079,0.105817938,0.222819198,-0.062686017,0.00601286
KCNJ2,-0.028449385,0.104845532,0.221078143,-0.062765075,0.005933492
FEM1B,-0.028471461,0.104576119,0.220734505,-0.062787081,0.005911399
USP20,-0.028493172,0.104311688,0.220353204,-0.062808724,0.005889671
PAQR4,-0.028513111,0.10406931,0.220017913,-0.062828601,0.005869717
LMBRD2,-0.028556857,0.103539105,0.219073086,-0.062872209,0.005825937
ZNF839,-0.028669726,0.102181022,0.216722652,-0.062984724,0.005712979
8-Mar,-0.028685081,0.101997371,0.216507737,-0.06300003,0.005697612
MROH6,-0.028720058,0.10158,0.215795961,-0.063034897,0.005662607
INPPL1,-0.028720698,0.10157237,0.215795961,-0.063035535,0.005661966
AP001816.1,-0.028736974,0.101378633,0.21571667,-0.06305176,0.005645678
SUGP1,-0.028770827,0.100976603,0.215325483,-0.063085506,0.005611798
E4F1,-0.028831197,0.100262817,0.214035072,-0.063145686,0.005551379
STK17A,-0.02888556,0.099623502,0.212843062,-0.063199877,0.005496972
HK2,-0.0289502,0.098867572,0.211399767,-0.063264312,0.005432281
EPT1,-0.02901035,0.098168262,0.210075288,-0.063324271,0.005372082
HLA-DRB1,-0.029036211,0.097868812,0.209749249,-0.06335005,0.0053462
MOGS,-0.029041984,0.097802058,0.209749249,-0.063355806,0.005340422
LZTR1,-0.029107237,0.097050138,0.208360704,-0.063420851,0.005275115
SLMAP,-0.029169979,0.096331519,0.207156086,-0.063483394,0.005212322
MBD1,-0.029321231,0.09461663,0.203801587,-0.063634163,0.005060945
RAB33B,-0.029354599,0.094241617,0.203160207,-0.063667425,0.005027549
TRAF6,-0.029358729,0.09419528,0.203160207,-0.063671542,0.005023415
RP6-109B7.3,-0.029371264,0.094054762,0.203090332,-0.063684037,0.005010869
PAM,-0.029379331,0.093964427,0.203061991,-0.063692078,0.005002796
ZNF654,-0.029474008,0.092909353,0.201112427,-0.063786452,0.004908039
GZMA,-0.029667619,0.090781362,0.196830157,-0.063979442,0.004714263
SPATA2,-0.029685656,0.090585132,0.196566748,-0.06399742,0.004696211
SIPA1L3,-0.029726126,0.090146077,0.195937341,-0.06403776,0.004655706
NUDT4,-0.02975241,0.08986184,0.19548109,-0.06406396,0.004629399
DDX20,-0.029783472,0.089526871,0.194913634,-0.064094921,0.004598311
PSPC1,-0.029832648,0.088998605,0.193924053,-0.064143939,0.004549092
ZBTB17,-0.030054664,0.086644828,0.189423024,-0.064365236,0.004326881
VILL,-0.03011967,0.085965227,0.188407122,-0.064430032,0.004261817
L3MBTL2,-0.030272243,0.08438707,0.185566884,-0.064582109,0.004109107
CD69,-0.030280743,0.084299843,0.185530199,-0.064590581,0.0041006
C11orf21,-0.030342252,0.083670812,0.184764261,-0.064651889,0.004039035
RP11-497H16.9,-0.030365113,0.083437994,0.184404979,-0.064674675,0.004016154
C15orf39,-0.030371041,0.083377699,0.184404979,-0.064680585,0.00401022
FRAT2,-0.030444119,0.082637408,0.183322301,-0.064753424,0.003937076
STK38,-0.030589406,0.081181435,0.180785075,-0.064898235,0.003791655
C2CD5,-0.030668611,0.080396502,0.179188815,-0.06497718,0.003712377
MPPE1,-0.030683049,0.080254084,0.179023105,-0.064991571,0.003697925
UBTD2,-0.030747071,0.079625039,0.177770672,-0.065055382,0.003633844
SYNJ2,-0.03078559,0.079248509,0.17738177,-0.065093774,0.00359529
MMP24-AS1,-0.030883917,0.078293893,0.175693634,-0.065191777,0.00349687
TATDN2,-0.030896797,0.078169539,0.175564378,-0.065204615,0.003483978
SLC44A2,-0.030901564,0.078123559,0.175564378,-0.065209366,0.003479207
7SK-1,-0.030997654,0.077201358,0.17383525,-0.065305138,0.003383026
NADK2,-0.031021219,0.076976552,0.173477576,-0.065328626,0.003359438
DEAF1,-0.031060548,0.076602561,0.172782792,-0.065367824,0.003320072
PITPNC1,-0.031087612,0.076346061,0.172352051,-0.065394798,0.003292982
BTBD3,-0.031128814,0.075956908,0.171620849,-0.065435864,0.00325174
RP11-97C16.1,-0.031145485,0.075799908,0.171413378,-0.06545248,0.003235053
