"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-BP-4162-01",10.6581592096527,28.517731424899,7.5429912689845,15.1051787751887,0.0899536271463924
"TCGA-DV-5566-01",21.5125318034771,22.5756112290012,10.3254460317964,22.5836601414152,0.158085753194397
"TCGA-BP-5191-01",22.6910113661542,40.1301741658263,15.5600888999245,18.0344875283858,0.113108469073119
"TCGA-BP-5200-01",9.73316353606813,24.6084829686264,5.44916360824322,15.4971532154583,0.102706946040417
"TCGA-BP-4347-01",15.6204823541522,25.0280420106044,6.52996642678275,16.5353086393567,0.11798716684078
"TCGA-BP-4770-01",8.76183426788967,7.31945429469204,1.48219087314091,8.68264565213743,0.067789469759184
"TCGA-BP-4762-01",10.4618016809851,16.9239491865202,6.68403229868338,15.5908718472438,0.13463628733529
"TCGA-BP-4158-01",16.9712675753977,24.6825609248506,8.41270181672844,18.0255921183371,0.166760024611413
"TCGA-CJ-4887-01",13.7592810833464,30.4100689859505,9.29206733915205,16.1601867147823,0.0824221026730637
"TCGA-B2-4098-01",19.3178956729756,53.5015818040515,14.4493886868048,19.21266760581,0.140196038565196
"TCGA-CJ-5676-01",17.4269647869027,21.3525373164081,9.31098671870764,15.762809593327,0.069055883543563
"TCGA-A3-3370-01",10.2081960627693,25.8050027239784,6.67314184877037,12.4903153975996,0.121055190386916
"TCGA-B0-5102-01",30.3527619535089,42.5724743821625,10.4648324386328,16.6282956200699,0.209551374352939
"TCGA-B0-5701-01",21.4992053630276,39.3035448897832,12.3156843929284,21.5684041610778,0.0860046541046942
"TCGA-CJ-4905-01",8.40704993581447,15.5953814822911,4.20151746550954,12.0773061279545,0.133217126194095
"TCGA-CJ-5682-01",17.9449051775569,21.1149037435567,9.08355803569788,19.3631368285465,0.126239562677684
"TCGA-AK-3428-01",16.1130196416828,22.8592551190773,8.80689480395494,22.1138816167921,0.126037545512321
"TCGA-BP-4760-01",15.2176664973618,30.5571519971763,11.7400521759383,16.8361462117516,0.427234314765312
"TCGA-B4-5378-01",16.2820066730801,29.4201299602726,8.01537246292497,14.0529997067004,0.273197129417473
"TCGA-B8-4153-01",23.2995848513661,23.6152977286854,9.72566312308227,21.1971932377787,0.113157978329618
"TCGA-CJ-6028-01",7.18336818505328,31.128450746045,7.76159362105541,16.035292731248,0.0657712319898216
"TCGA-DV-A4VX-01",36.276246310764,46.2223278546807,22.0215820063847,29.3985840887528,0.109932700579
"TCGA-BP-4325-01",12.844011028467,31.516774213795,9.34632091916941,16.0978266598974,0.136857731057623
"TCGA-CJ-5689-01",13.5296922159302,20.7497727642071,7.16452322160043,18.9028978835177,0.087092032128987
"TCGA-B0-4691-01",24.0041854913854,27.002007593861,9.14751758660737,13.8371856736885,0.098098894396572
"TCGA-B0-4815-01",11.0324091086922,31.6789087053489,8.22895039035967,13.5994250915239,0.091824264660602
"TCGA-BP-5004-01",13.0465792380011,24.8281306705879,5.91058168844073,18.5336594871811,0.128633443230183
"TCGA-B0-5402-01",15.6512010846473,25.894839702876,8.35755166839975,18.518024298033,0.161680671125144
"TCGA-CZ-5453-01",19.2346805964215,23.7282927208936,10.1999460418116,21.6440443066422,0.244661174275691
"TCGA-B0-4701-01",12.3623179418773,23.2009833774752,7.14813290429027,16.0591722647044,0.158082893306256
"TCGA-BP-5189-01",9.44132907674932,21.0638470723745,6.56006343525934,13.7196776844836,0.121804325768103
"TCGA-DV-5574-01",8.97944936213821,20.0012944247909,5.98530342578376,12.9794946021301,0.107757402028122
"TCGA-B0-5117-01",47.7726895540328,64.5649224748037,23.463788631708,38.046780000708,0.202007857439676
"TCGA-CZ-4857-01",10.9517110661587,23.6106827279032,5.71836737778932,13.4155217552861,0.116472876562971
"TCGA-CJ-4918-01",8.14813598646947,16.3255150936725,4.01912438834515,10.3206184410605,0.101913702948641
"TCGA-B8-4622-01",11.3767636620586,22.0881674696309,7.80095360037554,13.8858895630639,0.118302107456916
"TCGA-B0-4693-01",11.3125151461994,25.6434278353849,8.39530181093606,14.5095539231973,0.110671236633582
"TCGA-DV-5569-01",12.2737709090374,22.5494498911355,8.82758818934017,15.8809255423184,0.159744133453418
