,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
NBPF9,0.013477753071732455,0.6165776095576065,0.8382268717966708,-0.03926169526587537,0.06614231888464202
TNNT1,0.013315714470178572,0.6208217311526493,0.8418573320274315,-0.039423512099191184,0.0659809584825014
GCN1L1,0.01326157655980604,0.6222425363984351,0.8425244974920192,-0.03947757529919373,0.0659270465480677
ROGDI,0.013169180811036926,0.6246706340255315,0.8447033646197408,-0.03956984282856141,0.06583503575629979
RP11-206L10.3,0.01316503363404012,0.6247797147592302,0.8447033646197408,-0.03957398422934894,0.06583090583707002
OSBPL7,0.013122010208164812,0.6259118183338934,0.8457050172655383,-0.03961694762507724,0.06578806133935934
ZNF25,0.013103041465233643,0.6264112353440057,0.8459448748633335,-0.039635889839174474,0.06576917142298462
B9D2,0.01307802594331499,0.6270701160892247,0.8463997252606484,-0.03966087031754823,0.06574425979791541
RP11-134P9.3,0.013024263839826068,0.6284871545575358,0.8473366555617575,-0.03971455688412321,0.06569072076215092
EID2,0.013000089762670962,0.6291247707133709,0.8474320335390768,-0.03973869689694007,0.0656666468883489
TPCN1,0.012808176931589988,0.6341964382764436,0.851673348076777,-0.03993033711418655,0.06547552737485778
SLC9A1,0.012735327795207507,0.6361261351005462,0.8534710023395642,-0.040003081751820026,0.06540297836600319
FHOD1,0.012691818691846558,0.6372798238054861,0.853566212351333,-0.040046528176709936,0.06535964824804705
LINC00937,0.012684784100920323,0.6374664357862377,0.853566212351333,-0.040053552614997316,0.06535264257698963
VNN2,0.012651827305213725,0.6383410114398056,0.8538252827152373,-0.04008646177655091,0.06531982120064671
RP11-16E12.1,0.01263662953260382,0.6387444847101053,0.8538252827152373,-0.040101637544491434,0.06530468583724132
SYNJ1,0.012569667831806033,0.6405234670309378,0.8544791152143336,-0.040168502002493556,0.06523799882407831
SDCCAG3,0.012542988533616687,0.6412328360065467,0.8548243658820263,-0.04019514242501838,0.06521142883758732
PCSK5,0.01247756216901896,0.6429738249289039,0.855995548081641,-0.04026047313637941,0.0651462702248865
RUNDC1,0.012405445748844838,0.6448951061344458,0.8563009340902125,-0.04033248360003861,0.0650744484147285
AFTPH,0.012321884304318227,0.6471242625833669,0.8563009340902125,-0.040415921587388624,0.06499122765297151
VAV2,0.012318692734069235,0.6472094665093803,0.8563009340902125,-0.04041910842769551,0.06498804908033409
MTMR10,0.012275849697460461,0.6483536745458505,0.8563009340902125,-0.04046188786658015,0.06494538041773917
MTMR6,0.012244168444927138,0.6492003188188952,0.8563009340902125,-0.04049352196598907,0.06491382798614802
AC027763.2,0.012240428816545596,0.6493002858913287,0.8563009340902125,-0.04049725602147917,0.06491010355673273
LCAT,0.012235879002647354,0.6494219192017354,0.8563009340902125,-0.04050179905314009,0.06490557223265785
ZNF180,0.012204798904741368,0.650253054374095,0.8563009340902125,-0.04053283276278486,0.06487461838193521
