TF,fdr,nes,es,tag %,gene %,lead_genes
GON4L human tf ARCHS4 coexpression,0.730992643,1.223743434,0.552989186,15-Jul,27.73%,IRF2BPL;CBWD3;ABL2;KCNJ3;EMX2;NEUROD2;RNF24
MAFF human tf ARCHS4 coexpression,0.727463707,1.22338918,0.499725575,25-Dec,24.51%,MT2A;IRF2BPL;CBWD3;ABL2;GPM6A;KCNJ3;LRRC69;RNF122;PAQR7;GPR85;EMX2;NEUROD2
EPAS1 human tf ARCHS4 coexpression,0.726084358,1.222586475,0.456253627,Dec-45,21.65%,A2M;NR4A1;THBD;SERPING1;ECE1;HSPG2;COL6A2;C1S;FAM65A;PNPLA2;DCN;BGN
NFATC4 human tf ARCHS4 coexpression,0.730943721,1.220416472,0.446556426,15/54,22.88%,FN1;COL3A1;COL1A1;THBS2;COL6A1;ADAMTS2;COL1A2;IGFBP5;ECE1;COL6A2;C1S;CALD1;DCN;BGN;SERPINH1
ZFP36L1 human tf ARCHS4 coexpression,0.739313579,1.217472207,0.430951842,35/83,25.59%,IER2;NR4A1;RGS1;JUNB;BTG2;ITGAX;SOCS3;C5AR1;CDC42SE1;TLE3;PPP1R15A;JUN;NCF1;BCL3;JUND;OTUD1;ECE1;ANGPTL4;HES1;TNFAIP3;LFNG;SBNO2;NFKBIZ;GIMAP6;CSF2RB;FAM65A;SLC44A2;BCL6;KDM2A;NOTCH1;NUAK2;NFKBIA;BHLHE40;TFE3;CHST15
LARP6 human tf ARCHS4 coexpression,0.754100989,1.213099221,0.487512853,Jun-35,10.06%,FN1;COL1A1;THBS2;COL6A1;KCNMA1;COL1A2
ZNF264 human tf ARCHS4 coexpression,0.752777805,1.212211609,0.547154366,18-Sep,23.80%,NMNAT1;MDM4;FBXO48;CNKSR3;ZNF713;SLC35A3;NEDD4;AAK1;RP11-111M22.2
FOXP1 human tf ARCHS4 coexpression,0.76331377,1.208550729,0.482245013,17/27,34.47%,RGS16;IRF1;IRF2BPL;CBWD3;GPM6A;KCNJ3;LRRC69;RNF122;PAQR7;GPR85;RP11-111M22.2;EMX2;NEUROD2;RNF24;BLOC1S3;AVL9;COMP
IRF1 human tf ARCHS4 coexpression,0.764679444,1.207046686,0.432270332,24/84,18.64%,SPI1;APOBEC3A;TYMP;FCGR3A;MX2;ITGAX;C5AR1;CDC42SE1;NCF1;BCL3;ZBP1;GBP5;TMEM154;LILRA6;R3HDM4;HCAR2;SIGLEC14;RNF19B;SBNO2;TNFSF10;FFAR2;YPEL3;CSF2RB;ITGAL
HMGA2 human tf ARCHS4 coexpression,0.761818074,1.206693861,0.490071833,May-32,8.27%,PLAU;FN1;INHBA;SLC20A1;ID3
