TF,fdr,nes,es,tag %,gene %,lead_genes
ZNF274 human tf ARCHS4 coexpression,0.480452811,1.283314414,0.502741608,25-Jul,17.98%,HBEGF;PPP1R15A;PELI1;EIF2AK3;RND3;APBB3;KLHL15
PARP12 human tf ARCHS4 coexpression,0.489514276,1.278504597,0.414655209,39/95,18.94%,FCGR3A;SOCS3;CEBPB;NFKB1;IL1RN;SLC15A3;ICAM1;FCGR2B;IFI6;SIGLEC1;AQP9;IFI30;IFI44;PLEKHO2;HLA-DRB1;ISG15;PIM3;ARAP1;STAT1;ITGAX;IFI44L;EHD1;GBP1;IRF1;DPEP2;SPI1;CXCL10;DOK3;APOBEC3A;TNFSF10;IFIT2;TYMP;LY6E;PRKCD;NFAM1;HK3;RASAL3;BCL3;NADK
MITF human tf ARCHS4 coexpression,0.485402567,1.278230695,0.572578037,22-Sep,8.11%,CTSB;CTSL;DAB2;CTSD;SGK1;GPNMB;PMP22;PHACTR1;FABP3
PAX1 human tf ARCHS4 coexpression,0.506258585,1.26922311,0.539486767,29-Sep,16.42%,MAFB;SGK1;LGMN;SLC7A8;RCAN1;OTUD1;ATP1B1;NR4A3;CD9
WNT8B human tf ARCHS4 coexpression,0.520369064,1.262909459,0.574263007,16-Aug,28.72%,PLTP;WLS;ID3;WNT5B;SEC31B;GMEB2;CHST7;KLHL9
TFEB human tf ARCHS4 coexpression,0.52070463,1.261006947,0.423138163,32/85,23.63%,FCGR3A;C5AR1;SLC15A3;FCGR2B;CSF3R;AQP9;PLEKHO2;HLA-DRB1;ARAP1;ITGAX;DPEP2;SPI1;DOK3;FPR2;UBALD2;TYMP;SIRPB1;PRKCD;NFAM1;HK3;RASAL3;BCL3;NADK;ATG16L2;SIGLEC14;DENND4B;MAP3K3;YPEL3;LILRA6;FGD2;UNC13D;ZNF865
IRF7 human tf ARCHS4 coexpression,0.534844275,1.254252981,0.404443572,45/105,20.71%,FCGR3A;SOCS3;CEBPB;IFITM3;NFKB1;IL1RN;SLC15A3;ICAM1;IFI6;SIGLEC1;AQP9;IFI44;PLEKHO2;HLA-DRB1;ISG15;PIM3;ARAP1;STAT1;ITGAX;IFI44L;EHD1;GBP1;IRF1;SPI1;CXCL10;DOK3;HCAR2;UBALD2;APOBEC3A;TNFSF10;IFIT2;TYMP;LY6E;FFAR3;PRKCD;NFAM1;HK3;RASAL3;BCL3;NADK;ATG16L2;SIGLEC14;LILRA3;IFIT1;CLEC4D
ZXDC human tf ARCHS4 coexpression,0.531056243,1.253813756,0.47600483,Sep-37,13.50%,FCGR3A;PLTP;ALOX5AP;DUSP2;KLF2;EIF4A3;COLGALT1;PET100;GIMAP6
ZHX2 human tf ARCHS4 coexpression,0.529310587,1.252451331,0.45355437,Dec-63,13.85%,SOD2;SOCS3;CEBPB;CCL20;NFKB1;ICAM1;FCGR2B;KLF2;PIM3;ARAP1;EHD1;TPCN1
ZNF710 human tf ARCHS4 coexpression,0.546451224,1.245570555,0.436068603,44/95,30.33%,CD14;C5AR1;CEBPB;SLC15A3;FCGR2B;AQP9;ITGAM;PLEKHO2;METRNL;TOM1;ITGAX;EHD1;SPI1;DOK3;PNPLA6;TYMP;PRKCD;TFE3;NFAM1;HK3;BCL3;NADK;ZSWIM8;ATG16L2;SIGLEC14;DENND4B;MAP3K3;YPEL3;LILRA6;DCAF15;ZNF865;INPPL1;TLR8;FURIN;FOXO4;NLRC4;ENGASE;MINK1;PIK3CD;CCR1;GAK;TMEM127;AP5Z1;MEF2D
