TF,fdr,nes,es,tag %,gene %,lead_genes
STAT1 DEFICIENT MOUSE GSE48970 CREEDSID GENE 1521 UP,0.0,2.0544366682083246,0.7261708867907021,16/44,9.77%,OLR1;CXCL2;VSIG4;CD83;IL1B;IL10;RGS1;FPR1;SERPINB9;FGL2;PTGS2;CD55;CD300E;BIRC3;UBXN2B;IL1R1
NCOA2 KO MOUSE GSE55002 CREEDSID GENE 199 DOWN,0.0,2.0363357894297605,0.7128983932196052,45/82,12.62%,FCGR3A;VSIG4;ZFP36;DUSP1;ATF3;NFKBIA;MAFB;RGS1;LGMN;SLC11A1;JUNB;CYBB;CTSS;FOS;MARCO;CXCL1;CEBPB;CLEC7A;FPR1;TNFRSF1B;DDIT4;EGR1;CD52;C1QA;PLA2G7;IER2;GLUL;PLTP;C1QC;PDK4;C1QB;CXCR4;FOLR2;ATP1B3;MPEG1;SLC15A3;JUN;MNDA;KLF2;TM6SF1;DUSP6;RAB8B;PPP1R3B;IFRD1;TXNIP
MECP2 MUT HUMAN GSE6955 CREEDSID GENE 2473 DOWN,0.0,2.032875122588467,0.7200465109778991,38/74,7.60%,CXCL2;NAMPT;ZFP36;ZFP36L1;CCL3;PLIN2;TNFAIP3;CD14;NFKBIA;RGS1;JUNB;RGS2;SERPINA1;FOSB;CDKN1A;TIMP1;CCL2;SOD2;FOS;CXCL1;CEBPB;CCL4;MCL1;SDCBP;TNFRSF1B;NR4A1;CEBPD;CCL20;SLC2A3;KDM6B;ACSL1;G0S2;ADM;SAT1;C1QB;TLR2;CXCR4;ATP1B3
DNMT1 INHIBITION HUMAN GSE45804 CREEDSID GENE 2762 UP,0.0,2.0321285136951466,0.7074974930316298,17/43,10.53%,DAB2;PHLDA1;NR4A3;NPL;NFKBIZ;CD36;GK;AREG;ACSL1;RBP7;SAT1;INSIG1;CYP1B1;CXCR4;SORL1;ARL4A;OGFRL1
TCF4 DELETION MOUSE GSE12505 CREEDSID GENE 2866 UP,0.0,2.013379504610574,0.674592983968919,39/80,12.70%,CXCL2;PLAUR;ZFP36;CD83;IL1B;DUSP1;ATF3;TNFAIP3;CD14;LGMN;JUNB;GPR183;CYBB;FOSB;KLF4;FOS;KLF6;CCL4;HERPUD1;MCL1;NR4A1;BTG2;ICAM1;EGR1;CD52;IER2;SAT1;CTSB;C1QC;RNF149;ATP1B3;NFKB1;SORL1;GRASP;KLF2;VPS37B;IFRD1;TXNIP;PICALM
OVOL1 KO MOUSE GSE55071 CREEDSID GENE 2560 DOWN,0.0,2.009893894182774,0.7615108057057673,15/39,6.88%,PLAUR;PLIN2;FN1;GADD45B;CTSL;THBS1;PHLDA1;HMOX1;GABARAPL1;HERPUD1;DDIT4;PTGS2;ADM;SAT1;RNASE1
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP,0.0,1.990497196255772,0.6519785404507435,59/91,18.44%,FCGR3A;VSIG4;MS4A7;CCL3;ATF3;FN1;TREM2;MAFB;LGMN;SLC11A1;MSR1;THBS1;PHLDA1;CDKN1A;TIMP1;CCL2;CTSS;HMOX1;VCAN;SOCS3;LHFPL2;CLEC5A;C3AR1;NPL;AREG;EGR1;C1QA;SIGLEC1;PTAFR;IL1RN;C1QC;C1QB;EREG;FOLR2;GAS7;IL1R2;RAP2B;MNDA;MMP19;BCL3;IFI44L;MX2;CH25H;FKBP5;EGR2;CFP;ITGAM;IFIT3;SESN2;IFIT1;ISG15;PLEKHO2;XAF1;CCR1;NEK6;MX1;GPNMB;EMILIN2;IFI44
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN,0.0,1.990497196255772,0.6519785404507435,59/91,18.44%,FCGR3A;VSIG4;MS4A7;CCL3;ATF3;FN1;TREM2;MAFB;LGMN;SLC11A1;MSR1;THBS1;PHLDA1;CDKN1A;TIMP1;CCL2;CTSS;HMOX1;VCAN;SOCS3;LHFPL2;CLEC5A;C3AR1;NPL;AREG;EGR1;C1QA;SIGLEC1;PTAFR;IL1RN;C1QC;C1QB;EREG;FOLR2;GAS7;IL1R2;RAP2B;MNDA;MMP19;BCL3;IFI44L;MX2;CH25H;FKBP5;EGR2;CFP;ITGAM;IFIT3;SESN2;IFIT1;ISG15;PLEKHO2;XAF1;CCR1;NEK6;MX1;GPNMB;EMILIN2;IFI44
NR1I3 KNOCKIN MOUSE GSE40120 CREEDSID GENE 3069 UP,0.0,1.985605177593214,0.7116747595399364,41/65,10.57%,IER3;NAMPT;ZFP36;ZFP36L1;DUSP1;PLIN2;FN1;CD14;JUNB;ELL2;CDKN1A;TIMP1;THBD;FOS;HMOX1;SOCS3;SKIL;MARCO;CXCL1;CEBPB;NFKBIZ;HERPUD1;JMJD1C;CEBPD;BTG2;DDIT4;A2M;EGR1;PNRC1;IER2;SAT1;GLUL;TLR2;RHOB;TIPARP;NFIL3;GPCPD1;JUN;IL1R1;KLF2;BCL3
GFI1 KO MOUSE GSE20282 CREEDSID GENE 174 DOWN,0.0,1.982349027870991,0.7141884168384298,24/52,9.51%,ZFP36;NEAT1;CCL3;RGS1;PPP1R15A;RGS2;DUSP2;FOS;GABARAPL1;MCL1;NR4A1;JMJD1C;DDIT4;SLC2A3;EGR1;PDE4B;PNRC1;IER2;RHOB;MPEG1;CD93;ZFAND5;PNPLA8;JUN
TFAP2C SIRNA HUMAN GSE15481 CREEDSID GENE 2895 UP,0.0,1.982003552296357,0.6806436977706568,36/78,11.03%,NAMPT;CCL3;PLIN2;TNFAIP3;SGK1;MAFB;MARCKS;SERPINA1;DUSP2;MAP3K8;CCL2;THBD;FOS;HMOX1;PFKFB3;CXCL1;CEBPB;CCL20;GK;DDIT4;PNRC1;PTGS2;ADM;CD55;SAT1;PDK4;CYP1B1;ST8SIA4;BIRC3;ZC3H12A;HLA-DRB5;FOSL2;NFIL3;JUN;HLA-DRA;MX2
RARA ACTIVATION HUMAN GSE5679 CREEDSID GENE 2385 UP,0.0,1.980361324749492,0.6567059776736548,45/83,10.53%,OLR1;VSIG4;PLAUR;CD83;BCL2A1;IL1B;CCL3;FN1;CD14;MAFB;CTSL;CYBB;AQP9;TIMP1;CCL2;CTSS;SAMSN1;UPP1;CEBPB;CCL4;HERPUD1;SDCBP;TNFRSF1B;TNFAIP2;CXCL16;PNRC1;ACSL1;PLA2G7;G0S2;SAT1;GLUL;PLTP;CTSB;RAB20;BIRC3;LAMP1;LILRA6;MAN1A1;SORL1;NFIL3;RHOQ;RGCC;CYP27A1;TM6SF1;OGFRL1
ESR2 KO MOUSE GSE9371 CREEDSID GENE 2431 DOWN,0.0,1.9781627573159342,0.6797360541184011,31/67,14.26%,CD163;ATF3;NR4A2;JUNB;PHLDA1;KLF4;THBD;FOS;NR4A1;HBEGF;BTG2;DDIT4;ICAM1;C1QA;RBP7;C1QC;PDK4;NAF1;CLEC10A;EREG;MPEG1;NFIL3;MNDA;KLF2;BCL3;SSH2;CDC42EP2;BASP1;LY96;ARAP1;ALOX5AP
MYC KD HUMAN GSE54872 CREEDSID GENE 1307 DOWN,0.0,1.9776063267647785,0.7227587937191119,18/36,8.90%,CXCL2;PLIN2;NFKBIA;SOD2;CXCL1;SERPINB9;TNFAIP2;CCL20;ICAM1;AREG;EGR1;TREM1;G0S2;TLR2;EREG;BIRC3;ZC3H12A;AXL
