Term,tag %,gene %,fdr,es,nes,lead_genes
ZNF267 human tf ARCHS4 coexpression,72/141,15.18%,0,0.691926932,2.90688583,TYROBP;CTSS;MS4A7;RGS2;CLEC7A;CD68;FGL2;CYBB;TNFRSF1B;MPEG1;CD300E;OGFRL1;SLC43A2;TLR2;EVI2A;SLC11A1;C3AR1;LY96;MCL1;ITGAX;NFKBIZ;USP15;TNFAIP2;BIRC3;CLEC4E;TNFAIP3;HLA-DRB1;C5AR1;GBP1;IER5;BACH1;SOD2;NAMPT;HCAR3;PELI1;PLEKHO1;CEBPB;LILRB3;CCR1;MAP3K8;RNF149;ACSL1;LRRK2;TLR4;MYO1G;PLXNC1;SAMSN1;TLR1;SLC15A3;SSH2;CSGALNACT2;INSIG1;TLR6;TNF;RAB8B;ATP2B1;DMXL2;PLEKHO2;TREM1;RASSF3;IER3;MX2;GADD45B;TLR7;SPOPL;JMJD1C;PLAUR;SP3;NPL;GPCPD1;CD83;TLR8
ZNF438 human tf ARCHS4 coexpression,59/110,15.18%,0,0.69693101,2.890747727,TYROBP;FCGR3A;CTSS;MS4A7;CLEC7A;CD68;CXCL16;P2RY13;CYBB;TNFRSF1B;CD163;SLC43A2;TLR2;SLC11A1;C3AR1;C1QA;LY96;CHST15;ITGAX;TNFAIP2;CLEC4E;C5AR1;DPYD;CTSB;FPR1;PLEKHO1;CEBPB;RGS18;VSIG4;LILRB3;CCR1;PTAFR;GPR34;RNF149;ACSL1;TLR4;PLXNC1;TLR1;SLC15A3;OSCAR;TLR6;IL1R2;SPI1;TM6SF1;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;CD14;MX2;ITGAM;MAP3K7CL;PLAUR;NPL;OTUD1;TLR8
HLA-DRB3 human tf ARCHS4 coexpression,37/78,10.31%,0,0.745317722,2.837316654,TYROBP;CTSS;CST3;MS4A7;LGALS2;CD68;FGL2;HLA-DPA1;CFP;CYBB;TNFRSF1B;MPEG1;HLA-DRB5;HLA-DPB1;HLA-DQA1;FGD2;SLC43A2;CLEC10A;C1QA;HLA-DRA;ITGAX;CD74;TNFAIP2;HLA-DRB1;RIN3;CTSB;C1QC;IRF9;PLEKHO1;CCR1;MAP3K8;MYO1G;SLC15A3;OSCAR;SPI1;NCF1;PLEKHO2
IRF5 human tf ARCHS4 coexpression,50/113,14.35%,0,0.672387698,2.833990276,TYROBP;CTSS;MS4A7;CD68;HLA-DPA1;CYBB;TNFRSF1B;CD163;MPEG1;HLA-DPB1;FGD2;SLC43A2;TLR2;HLA-DQB1;C3AR1;C1QA;SLC2A6;ITGAX;CD74;TNFAIP2;HLA-DRB1;C5AR1;RIN3;CTSB;C1QC;IRF9;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;MYO1G;SH3BP2;SLC15A3;SH3TC1;OSCAR;TNF;SPI1;NCF1;PLEKHO2;LILRA6;CD14;KLF13;MX2;ITGAM;TLR7;CECR1;PLAUR;NPL
BACH1 human tf ARCHS4 coexpression,71/143,15.22%,0,0.691809734,2.818964598,CTSS;MS4A7;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;CYBB;TNFRSF1B;TXNIP;BCL2A1;MPEG1;CD300E;OGFRL1;FAM65B;SLC43A2;TLR2;EVI2A;SLC11A1;CHST15;MCL1;ITGAX;USP15;TNFAIP2;APOBEC3A;CLEC4E;C5AR1;SOD2;NAMPT;DPYD;FPR1;PELI1;CEBPB;LILRB3;CCR1;TMEM154;PTAFR;MAP3K3;MAP3K8;RNF149;ACSL1;LRRK2;TLR4;PLXNC1;JAK2;TLR1;SLC15A3;SSH2;CSGALNACT2;MAP3K1;TLR6;MEGF9;ATP2B1;PLBD1;DMXL2;SIGLEC14;PLEKHO2;LILRA6;TREM1;RASSF3;MX2;ITGAM;SPOPL;JMJD1C;PLAUR;SP3;NPL;GPCPD1;TLR8;CD93
PLEK human tf ARCHS4 coexpression,60/116,15.18%,0,0.693278291,2.781091134,TYROBP;CTSS;MS4A7;CLEC7A;CD68;HLA-DPA1;CFP;CXCL16;P2RY13;CYBB;TNFRSF1B;BCL2A1;MPEG1;CD300E;SLC43A2;TLR2;HLA-DQB1;EVI2A;C3AR1;MCL1;ITGAX;NFKBIZ;TNFAIP2;CLEC4E;HLA-DRB1;C5AR1;RIN3;HCAR3;PELI1;PLEKHO1;CEBPB;LILRB3;CCR1;PTAFR;MAP3K8;TLR4;MYO1G;SH3BP2;SAMSN1;TLR1;SLC15A3;CSGALNACT2;OSCAR;TNF;SPI1;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;KLF13;MX2;ITGAM;TLR7;CECR1;PLAUR;NPL;CD83;TLR8
JDP2 human tf ARCHS4 coexpression,65/138,15.41%,0,0.672843282,2.741281346,TYROBP;FCGR3A;CTSS;MS4A7;MAFB;CLEC7A;CD68;CFP;CXCL16;CYBB;TNFRSF1B;CD163;MPEG1;SLC43A2;TLR2;HMOX1;SLC11A1;C3AR1;C1QA;CTSL;SLC2A6;CHST15;MCL1;ITGAX;RXRA;TNFAIP2;CLEC4E;ARHGEF40;C5AR1;RIN3;CTSB;C1QC;SECTM1;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;MAP3K3;ACSL1;TLR4;SH3BP2;SLC15A3;OSCAR;IL1R2;SPI1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1;PPP1R9B;CD14;PLD3;FAM214B;ITGAM;PQLC1;ABTB1;PLAUR;NPL;ZBTB7B;CEBPD;TLR8;TMEM127
ARNTL human tf ARCHS4 coexpression,60/133,14.54%,0,0.672841114,2.734711714,FCGR3A;CTSS;TSC22D3;CLEC7A;FGL2;CFP;P2RY13;TNFRSF1B;TXNIP;KLF6;KLF2;ZFP36;GIMAP4;MPEG1;OGFRL1;FAM65B;TLR2;EVI2A;CX3CR1;GIMAP8;CHST15;MCL1;ITGAX;USP15;ITGAL;CDC42SE1;TNFAIP3;DPEP2;DPYD;FPR1;IRF9;RASA3;LILRB3;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;PLXNC1;TLR1;SSH2;MAP3K1;TLR6;MEGF9;NLRP1;NCF1;TREM1;NFAM1;RASSF3;KLF13;MX2;GIMAP6;ITGAM;GIMAP5;ABTB1;STK38;FRAT1
BATF2 human tf ARCHS4 coexpression,65/133,19.79%,0,0.659220781,2.728043742,TYROBP;FCGR3A;CTSS;CD68;P2RY13;TNFRSF1B;TNFSF10;SLC43A2;TLR2;LILRA5;C3AR1;C1QA;SLC2A6;GIMAP8;ITGAX;IFITM3;TNFAIP2;APOBEC3A;CLEC4E;GCH1;IFIT3;GBP1;SOD2;HCAR3;LILRA3;FPR1;C1QC;IRF9;PLEKHO1;CEBPB;LILRB3;IFITM2;CCR1;WARS;ACSL1;TLR4;SLC15A3;OSCAR;TNF;STAT2;SPI1;NCF1;SIGLEC14;PLEKHO2;LILRA6;NFAM1;MX2;DDX58;ISG15;ABTB1;PLAUR;NPL;ZBTB7B;CEBPD;TLR8;MMP19;NADK;ANKRD22;STXBP2;CHMP4B;CSF2RB;IFNGR2;HLX;MEFV;STK40
HLA-DQB1 human tf ARCHS4 coexpression,34/72,11.30%,0,0.705886125,2.721414934,TYROBP;CTSS;CST3;MS4A7;LGALS2;HLA-DPA1;CFP;CYBB;TNFRSF1B;MPEG1;HLA-DRB5;HLA-DQA1;FGD2;CLEC10A;LY96;TNFRSF8;CRIP1;MCL1;HLA-DRA;ITGAX;CD74;HLA-DRB1;RIN3;IRF9;PLEKHO1;MAP3K8;MYO1G;SLC15A3;OSCAR;SPI1;NCF1;PLEKHO2;PPP1R9B;KLF13
PARP12 human tf ARCHS4 coexpression,58/124,18.07%,0,0.66641604,2.720961321,TYROBP;FCGR3A;CTSS;CD68;FGL2;CYBB;TNFRSF1B;TNFSF10;MPEG1;TLR2;SLC2A6;GIMAP8;CHST15;MCL1;ITGAX;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;HLA-DRB1;IFIT3;GBP1;DPEP2;IRF9;SECTM1;PLEKHO1;CEBPB;LILRB3;CCR1;RNF149;ACSL1;TLR4;MYO1G;SH3BP2;SLC15A3;OSCAR;STAT2;SPI1;NCF1;SIGLEC14;IFIT2;PLEKHO2;LILRA6;NFAM1;IFI44L;KLF13;MX2;DDX58;ISG15;NPL;ZBTB7B;TLR8;IL4R;RNF166;UNC13D;NADK;RNPEPL1;STXBP2
IRF2 human tf ARCHS4 coexpression,51/132,11.30%,0,0.661030373,2.697327843,TYROBP;FCGR3A;CTSS;CLEC7A;FGL2;CFP;P2RY13;CYBB;TNFRSF1B;TXNIP;TNFSF10;MPEG1;FGD2;FAM65B;TLR2;LILRA5;GIMAP8;CHST15;ITGAX;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;FPR1;IRF9;SECTM1;LILRB3;IFITM2;CCR1;TMEM154;PTAFR;MAP3K3;RNF149;LRRK2;TLR4;MYO1G;PLXNC1;TLR1;SSH2;OSCAR;TLR6;SPI1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1;RASSF3;KLF13
TFEC human tf ARCHS4 coexpression,54/125,10.96%,0,0.684717386,2.693528455,TYROBP;CTSS;MS4A7;MAFB;CLEC7A;CD68;FGL2;HLA-DPA1;CXCL16;CYBB;TNFRSF1B;BCL2A1;CD163;MPEG1;FGD2;SLC43A2;TLR2;EVI2A;C3AR1;C1QA;CTSL;LY96;SLC2A6;ITGAX;TNFAIP2;CLEC4E;HLA-DRB1;C5AR1;GBP1;SOD2;DPYD;CTSB;C1QC;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;MSR1;PTAFR;MAP3K8;TLR4;MYO1G;PLXNC1;TLR1;SLC15A3;CSGALNACT2;OSCAR;TNF;SPI1;DMXL2;PLEKHO2;LILRA6;CD14
PLXNC1 human tf ARCHS4 coexpression,60/153,11.19%,0,0.655954648,2.691282836,TYROBP;FCGR3A;CTSS;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;CYBB;TNFRSF1B;TXNIP;MPEG1;OGFRL1;FAM65B;TLR2;LILRA5;EVI2A;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;USP15;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;BACH1;NAMPT;DPYD;FPR1;SECTM1;LILRB3;CCR1;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;SSH2;MAP3K1;OSCAR;TLR6;IL1R2;MEGF9;SPI1;PLBD1;NCF1;SIGLEC14;PLEKHO2;S100A12;LILRA6;TREM1;NFAM1;RASSF3
MTF1 human tf ARCHS4 coexpression,59/144,11.38%,0,0.657687682,2.680754716,TYROBP;CTSS;MS4A7;MAFB;CLEC7A;CD68;CXCL16;CYBB;TNFRSF1B;BCL2A1;CD163;MPEG1;CD300E;SLC43A2;TLR2;SLC11A1;C3AR1;CTSL;SLC2A6;CHST15;MCL1;ITGAX;NFKBIZ;TNFAIP2;APOBEC3A;CLEC4E;TNFAIP3;C5AR1;GCH1;GBP1;SOD2;NAMPT;LILRA3;PELI1;IRF9;CEBPB;LILRB3;CCR1;PTAFR;ACSL1;TLR4;NFKBIA;MYO1G;SAMSN1;TLR1;SLC15A3;CSGALNACT2;OSCAR;TNF;SPI1;PLBD1;NCF1;DMXL2;SIGLEC14;PLEKHO2;LILRA6;TREM1;CD14;IER3
HLX human tf ARCHS4 coexpression,57/125,15.41%,0,0.656717402,2.673599215,TYROBP;CTSS;CD68;CFP;CXCL16;TNFRSF1B;CD163;SLC43A2;TLR2;LILRA5;SLC11A1;C3AR1;C1QA;CTSL;SLC2A6;CHST15;ITGAX;TNFAIP2;CLEC4E;C5AR1;RIN3;DPEP2;SOD2;LILRA3;FPR1;C1QC;SECTM1;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;ACSL1;TLR4;MYO1G;SH3BP2;SLC15A3;OSCAR;TNF;SPI1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;CD14;IER3;MX2;ITGAM;ABTB1;PLAUR;NPL;CEBPD;TLR8;TMEM127
NFKB1 human tf ARCHS4 coexpression,48/109,15.03%,0,0.653112793,2.669598985,TYROBP;CTSS;MS4A7;CD68;CXCL16;CYBB;TNFRSF1B;BCL2A1;CD163;MPEG1;SLC43A2;TLR2;C3AR1;C1QA;SLC2A6;NFKBIZ;TNFAIP2;BIRC3;TNFAIP3;HLA-DRB1;C5AR1;GCH1;IFIT3;GBP1;SOD2;C1QC;PLEKHO1;CEBPB;CCR1;WARS;MAP3K8;TLR4;NFKBIA;MYO1G;SAMSN1;SLC15A3;INSIG1;OSCAR;TNF;IFIT2;PLEKHO2;KLF13;IER3;MX2;TLR7;PLAUR;NPL;CD83
BCL6 human tf ARCHS4 coexpression,79/161,19.79%,0,0.650618908,2.667934284,TYROBP;FCGR3A;CTSS;FCN1;CLEC7A;FGL2;CFP;P2RY13;TNFRSF1B;TXNIP;MPEG1;FAM65B;TLR2;LILRA5;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;RXRA;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;NAMPT;HCAR3;SECTM1;CEBPB;LILRB3;IFITM2;CCR1;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;PLXNC1;LFNG;TLR1;SSH2;OSCAR;TLR6;IL1R2;MEGF9;SPI1;PLBD1;NCF1;IQSEC1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;RASSF3;ZNF467;MX2;ITGAM;ABTB1;FRAT1;ZBTB7B;TLR8;PADI2;SEC14L1;RNF166;RGL2;NADK;TECPR2;RNPEPL1;STXBP2;CSF2RB;RASGRP4;MEFV;MNDA;STK40
ZNF385A human tf ARCHS4 coexpression,54/123,14.61%,0,0.667852582,2.654921087,TYROBP;CTSS;CST3;MS4A7;FCN1;MAFB;CD68;CFP;CXCL16;CYBB;TNFRSF1B;CD163;MPEG1;SLC43A2;TLR2;SLC11A1;C3AR1;C1QA;CTSL;ITGAX;RXRA;TNFAIP2;C5AR1;RIN3;CTSB;C1QC;SECTM1;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;SH3BP2;LFNG;SLC15A3;OSCAR;CSTB;SPI1;IQSEC1;SIGLEC14;PLEKHO2;LILRA6;NFAM1;PPP1R9B;CD14;PLD3;ITGAM;CAMTA2;ARL8A;CECR1;PLAUR;NPL;ZBTB7B
SEMA4A human tf ARCHS4 coexpression,69/132,19.79%,0,0.647266832,2.652931843,TYROBP;FCGR3A;CTSS;CLEC7A;CD68;CFP;P2RY13;CYBB;TNFRSF1B;CD163;MPEG1;SLC43A2;TLR2;SLC11A1;C3AR1;GIMAP8;CHST15;MCL1;ITGAX;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;RIN3;DPEP2;FPR1;SECTM1;PLEKHO1;CEBPB;LILRB3;CCR1;PTAFR;TLR4;MYO1G;SH3BP2;PLXNC1;TLR1;SLC15A3;OSCAR;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;PPP1R9B;CD14;KLF13;MX2;ITGAM;CECR1;ABTB1;NPL;ZBTB7B;TLR8;RNF166;NADK;RNPEPL1;STXBP2;PTK2B;CHMP4B;CSF2RB;IFNGR2;RASGRP4;MEFV;MNDA;STK40
IRF1 human tf ARCHS4 coexpression,48/126,10.65%,0,0.674451085,2.652826375,TYROBP;FCGR3A;CTSS;FCN1;CLEC7A;FGL2;CFP;P2RY13;TNFRSF1B;TXNIP;TNFSF10;GIMAP4;MPEG1;FAM65B;TLR2;LILRA5;GIMAP8;MCL1;ITGAX;ITGAL;TNFAIP2;APOBEC3A;CDC42SE1;C5AR1;RIN3;DPEP2;FPR1;IRF9;SECTM1;LILRB3;IFITM2;TMEM154;PTAFR;MAP3K3;RNF149;TLR4;MYO1G;SH3BP2;TLR1;SSH2;OSCAR;TLR6;SPI1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1
STAT2 human tf ARCHS4 coexpression,49/117,13.17%,0,0.668660049,2.650360695,FCGR3A;CTSS;FGL2;CFP;CYBB;TNFRSF1B;TXNIP;TNFSF10;MPEG1;FGD2;FAM65B;TLR2;LILRA5;GIMAP8;ITGAX;IFITM3;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;HLA-DRB1;GCH1;IFIT3;GBP1;FPR1;IRF9;SECTM1;LILRB3;CCR1;WARS;RNF149;ACSL1;TLR4;MYO1G;SH3BP2;SLC15A3;OSCAR;SPI1;NCF1;SIGLEC14;IFIT2;PLEKHO2;LILRA6;NFAM1;IFI44L;MX2;DDX58;ISG15;TLR7
SPI1 human tf ARCHS4 coexpression,71/138,19.90%,0,0.64919557,2.648323167,TYROBP;FCGR3A;CTSS;FCN1;CLEC7A;CD68;CFP;P2RY13;CYBB;TNFRSF1B;MPEG1;SLC43A2;TLR2;LILRA5;SLC11A1;C3AR1;CHST15;ITGAX;TNFAIP2;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;RIN3;DPEP2;FPR1;SECTM1;CEBPB;LILRB3;IFITM2;CCR1;PTAFR;MAP3K3;RNF149;TLR4;MYO1G;SH3BP2;LFNG;SLC15A3;OSCAR;IL1R2;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;PPP1R9B;CD14;ZNF467;MX2;ITGAM;ABTB1;NPL;FRAT1;ZBTB7B;TLR8;RNF166;UNC13D;NADK;RNPEPL1;STXBP2;CSF2RB;IFNGR2;RASGRP4;HLX;MEFV;MNDA;STK40;FAM78A
SSH2 human tf ARCHS4 coexpression,53/146,11.30%,0,0.640671155,2.647600855,FCGR3A;CTSS;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;CYBB;TXNIP;MPEG1;OGFRL1;FAM65B;TLR2;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;USP15;ITGAL;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;NAMPT;DPYD;FPR1;LILRB3;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;PLXNC1;TLR1;MAP3K1;TLR6;MEGF9;NLRP1;SPI1;PLBD1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1;RASSF3;KLF13
MXD1 human tf ARCHS4 coexpression,59/156,11.19%,0,0.641526208,2.633288959,TYROBP;FCGR3A;CTSS;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;CYBB;TNFRSF1B;TXNIP;MPEG1;OGFRL1;FAM65B;TLR2;LILRA5;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;USP15;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;NAMPT;HCAR3;FPR1;PELI1;SECTM1;LILRB3;IFITM2;CCR1;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;PLXNC1;TLR1;SSH2;OSCAR;TLR6;IL1R2;MEGF9;SPI1;PLBD1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1;RASSF3
ZNF641 human tf ARCHS4 coexpression,41/107,10.65%,0,0.665416175,2.623419374,FCGR3A;CTSS;FCN1;CLEC7A;FGL2;CFP;P2RY13;TXNIP;MPEG1;FAM65B;TLR2;LILRA5;SLC11A1;GIMAP8;CHST15;ITGAX;CDC42SE1;C5AR1;DPEP2;FPR1;LILRB3;TMEM154;PTAFR;MAP3K3;RNF149;LRRK2;TLR4;SH3BP2;PLXNC1;TLR1;SSH2;TLR6;MEGF9;NLRP1;SPI1;PLBD1;IQSEC1;SIGLEC14;LILRA6;TREM1;NFAM1
NR4A3 human tf ARCHS4 coexpression,52/118,15.03%,0,0.638730964,2.620659256,MS4A7;JUNB;CD68;HLA-DPA1;CXCL16;RNF144B;KLF6;ZFP36;BCL2A1;MPEG1;HLA-DPB1;HLA-DQA1;HLA-DQB1;C3AR1;SLC2A6;MCL1;ITGAX;NFKBIZ;TNFAIP2;KLF4;TNFAIP3;HLA-DRB1;GCH1;IFIT3;GBP1;SOD2;FOSB;NR4A2;CEBPB;VSIG4;CDKN1A;CCR1;MSR1;MAP3K8;GPR34;NFKBIA;SAMSN1;SLC15A3;CSGALNACT2;NR4A1;INSIG1;TNF;IFIT2;SGK1;IER3;MX2;GADD45B;TLR7;CECR1;PLAUR;OTUD1;CD83
TFEB human tf ARCHS4 coexpression,60/119,19.90%,0,0.644378356,2.615684411,TYROBP;FCGR3A;CTSS;CFP;P2RY13;TNFRSF1B;TXNIP;MPEG1;FGD2;FAM65B;TLR2;LILRA5;SLC11A1;TNFRSF8;CHST15;ITGAX;CDC42SE1;HLA-DRB1;C5AR1;RIN3;DPEP2;FPR1;IRF9;SECTM1;LILRB3;IFITM2;PTAFR;MAP3K3;MYO1G;SH3BP2;LFNG;SLC15A3;SSH2;OSCAR;TLR6;SPI1;NCF1;SIGLEC14;PLEKHO2;LILRA6;NFAM1;PPP1R9B;KLF13;MX2;ABTB1;FRAT1;ZBTB7B;TLR8;IL4R;RNF166;UNC13D;NADK;RNPEPL1;STXBP2;PTK2B;CSF2RB;RASGRP4;MNDA;STK40;FAM78A
ATF3 human tf ARCHS4 coexpression,54/128,15.03%,0,0.626704862,2.607778978,TYROBP;MS4A7;MAFB;CD68;CXCL16;TNFRSF1B;KLF6;ZFP36;BCL2A1;CD163;SLC43A2;HMOX1;C3AR1;C1QA;CTSL;SLC2A6;MCL1;NFKBIZ;TNFAIP2;KLF4;TNFAIP3;C5AR1;GCH1;GBP1;IER5;SOD2;FOSB;CTSB;C1QC;CEBPB;VSIG4;CDKN1A;PPP1R15A;CCR1;MSR1;MAP3K8;HSPA6;NFKBIA;JUN;SLC15A3;NR4A1;INSIG1;TRIB1;TNF;CSTB;SGK1;IER3;PLD3;GADD45B;PLAUR;NPL;OTUD1;CEBPD;CD83
ETV7 human tf ARCHS4 coexpression,49/97,19.48%,0,0.667192963,2.606379971,TYROBP;TNFRSF1B;TNFSF10;TMEM176B;TLR2;LILRA5;C1QA;SLC2A6;GIMAP8;IFITM3;IL15;TNFAIP2;APOBEC3A;CLEC4E;HLA-DRB1;GCH1;IFIT3;GBP1;SOD2;LILRA3;FAM26F;IRF9;SECTM1;LILRB3;IFITM2;WARS;ACSL1;SLC15A3;OSCAR;TNF;STAT2;NCF1;IFIT2;TMEM62;LILRA6;IFI44L;MX2;TRAFD1;DDX58;ISG15;TLR8;FBXO3;NADK;ANKRD22;RNPEPL1;STX2;CSF2RB;HLX;MEFV
PHF21A human tf ARCHS4 coexpression,50/143,11.30%,0,0.616158044,2.596759395,FCGR3A;CTSS;FCN1;CLEC7A;CFP;P2RY13;TXNIP;MPEG1;FAM65B;TLR2;LILRA5;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;ITGAL;APOBEC3A;CDC42SE1;CREB5;EVI5;C5AR1;DPEP2;FPR1;SECTM1;LILRB3;TMEM154;PTAFR;MAP3K3;RNF149;LRRK2;TLR4;SH3BP2;PLXNC1;LFNG;TLR1;SSH2;TLR6;MEGF9;NLRP1;SPI1;NCF1;IQSEC1;SIGLEC14;LILRA6;TREM1;NFAM1;PPP1R9B;ZNF467;KLF13
ZFP36 human tf ARCHS4 coexpression,51/124,15.41%,0,0.628731204,2.587847895,TYROBP;TSC22D3;DUSP1;HLA-DPA1;CFP;TNFRSF1B;KLF6;KLF2;RHOB;MPEG1;FOS;FGD2;ZFP36L1;HLA-DQB1;MCL1;ITGAX;NFKBIZ;ITGAL;KLF4;CDC42SE1;TNFAIP3;HLA-DRB1;C5AR1;RIN3;DPEP2;FOSB;NR4A2;IRF9;CEBPB;LILRB3;PPP1R15A;MAP3K3;MAP3K8;NFKBIA;MYO1G;SH3BP2;JUN;NR4A1;ARRDC2;SPI1;CXCR4;TREM1;IER2;KLF13;GIMAP6;GADD45B;AGER;CD300LF;OTUD1;CEBPD;TMEM127
SP110 human tf ARCHS4 coexpression,47/112,11.19%,0,0.669577868,2.583187738,FCGR3A;CTSS;RGS2;CLEC7A;FGL2;CFP;P2RY13;TNFRSF1B;TXNIP;TNFSF10;GIMAP4;MPEG1;FGD2;FAM65B;TLR2;LILRA5;EVI2A;GIMAP8;ITGAX;CD74;ITGAL;APOBEC3A;CDC42SE1;HLA-DRB1;IFIT3;DPEP2;FPR1;IRF9;SECTM1;LILRB3;IFITM2;TMEM154;PTAFR;RNF149;LRRK2;TLR4;MYO1G;SH3BP2;TLR1;SSH2;TLR6;STAT2;NCF1;SIGLEC14;LILRA6;NFAM1;RASSF3
CREB5 human tf ARCHS4 coexpression,60/160,11.19%,0,0.626070592,2.563156839,FCGR3A;CTSS;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;TXNIP;MPEG1;OGFRL1;FAM65B;TLR2;LILRA5;SLC11A1;GIMAP8;CHST15;MCL1;ITGAX;USP15;APOBEC3A;CDC42SE1;CLEC4E;C5AR1;DPEP2;NAMPT;FPR1;PELI1;SECTM1;LILRB3;IFITM2;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;ENTPD1;SH3BP2;PLXNC1;TLR1;SDCBP;SSH2;OSCAR;ALPK1;TLR6;IL1R2;MEGF9;RAB8B;SPI1;PLBD1;NCF1;SIGLEC14;S100A12;LILRA6;TREM1;NFAM1;UBR2;RASSF3
BATF3 human tf ARCHS4 coexpression,24/49,12.71%,0,0.702273629,2.55965419,HLA-DPA1;BCL2A1;HLA-DPB1;FGD2;HLA-DQB1;LY96;TNFRSF8;SLC2A6;HLA-DRA;TNFAIP2;BIRC3;HLA-DRB1;IFIT3;GBP1;WARS;SAMSN1;TNF;STAT2;FCER1A;IFI44L;MX2;DDX58;AIM2;ISG15
ETV3 human tf ARCHS4 coexpression,51/131,11.38%,0,0.640209686,2.551489697,SAT1;CTSS;MS4A7;MAFB;CD68;HLA-DPA1;CXCL16;RNF144B;CYBB;TNFRSF1B;ZFP36;BCL2A1;MPEG1;CD300E;SLC43A2;TLR2;C3AR1;SLC2A6;MCL1;ITGAX;NFKBIZ;TNFAIP2;KLF4;TNFAIP3;C5AR1;GCH1;GBP1;IER5;BACH1;SOD2;FOSB;NR4A2;PELI1;CEBPB;CDKN1A;CCR1;MAP3K8;ACSL1;TLR4;NFKBIA;SH3BP2;SAMSN1;SLC15A3;CSGALNACT2;INSIG1;TRIB1;TNF;PLEKHO2;TREM1;SGK1;IER3
SNAI3 human tf ARCHS4 coexpression,57/124,19.90%,0,0.630329712,2.541853501,TYROBP;FCGR3A;CTSS;CLEC7A;CD68;CFP;P2RY13;TNFRSF1B;KLF2;MPEG1;SLC43A2;TLR2;SLC11A1;CHST15;ITGAX;RXRA;CDC42SE1;C5AR1;RIN3;DPEP2;FPR1;SECTM1;CEBPB;LILRB3;IFITM2;CCR1;PTAFR;MAP3K3;SH3BP2;LFNG;SLC15A3;OSCAR;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;NFAM1;PPP1R9B;CD14;ZNF467;ITGAM;ABTB1;NPL;FRAT1;ZBTB7B;TLR8;RNF166;UNC13D;NADK;RNPEPL1;STXBP2;CSF2RB;RASGRP4;MNDA;STK40;FAM78A
