Term,tag %,gene %,fdr,es,nes,lead_genes
ARX human tf ARCHS4 coexpression,19-Sep,14.19%,0.140810104,-0.549008584,-1.47562088,STMN1;BEX2;SOX4;SLC36A4;PAM;GPR27;ELL2;SFT2D3;MOB1B
ZNF420 human tf ARCHS4 coexpression,28-Jul,8.68%,0.140238822,-0.518342483,-1.477058321,STMN1;ZMYM1;GNPDA2;LIN7C;CD96;ALG6;HSDL1
SP5 human tf ARCHS4 coexpression,14/32,15.72%,0.139912026,-0.492223479,-1.478176082,HSPD1;MAN1A1;UBFD1;SNTB1;ASXL1;PCYT2;VARS2;RFNG;ID1;MOGS;TRIB3;ARFGAP1;F5;POLRMT
ZNF547 human tf ARCHS4 coexpression,16-Jul,18.68%,0.13993277,-0.558671207,-1.478509589,HSP90AA1;HSPE1;PET100;F2RL1;FAM188A;MOB1B;TMEM116
RUNX1 human tf ARCHS4 coexpression,15/89,6.54%,0.140003919,-0.406976058,-1.479152019,MPO;MS4A3;MYB;RNASE2;ATP2A3;EMB;CITED2;P2RY8;MAPK14;CLCN7;ACCS;AHSA2;LMO2;OSM;FAM101B
DACH2 human tf ARCHS4 coexpression,15-Mar,1.67%,0.14032786,-0.588849173,-1.479502455,STMN1;BEX2;SCD5
ZNF609 human tf ARCHS4 coexpression,17/51,19.60%,0.140603828,-0.461458883,-1.47963724,MKI67;ASXL1;DVL3;YEATS2;INTS1;RPTOR;NUP153;SRF;TNRC18;STRN;UPF1;PIKFYVE;SIPA1L3;SEC16A;KDM3B;HIPK1;INTS3
GATA1 human tf ARCHS4 coexpression,Dec-43,11.53%,0.140678647,-0.466641099,-1.480159744,MYB;NFE2;USP20;LMO2;FAM73B;HBB;TESC;TFRC;LYL1;SLC40A1;TTLL12;CPOX
E4F1 human tf ARCHS4 coexpression,29/94,18.04%,0.140703018,-0.41644187,-1.480830164,CLCN7;PIGQ;DUS1L;STK11;NCLN;GLI4;ATHL1;GTPBP6;FAM73B;TMEM259;PTOV1;SLC4A2;FZR1;FAM193B;INTS1;BRD9;SLC38A10;SYVN1;UPF1;ZNF787;LRRC45;MOGS;ARFGAP1;POLRMT;PPP6R2;CTDP1;FBRSL1;SMARCD2;EME2
LMX1A human tf ARCHS4 coexpression,17-Jul,14.38%,0.133804041,-0.6036848,-1.488605373,CENPF;HIST1H4C;TOP2A;PET100;ARMC10;TAF4;MT-ATP8
HIST1H1D human tf ARCHS4 coexpression,27-Dec,11.76%,0.128495123,-0.521601258,-1.494250499,HMGB2;MTRNR2L1;SLBP;MTRNR2L8;MKI67;HIST1H1E;NFE2;MTRNR2L12;ARHGAP19;TFRC;CPOX;NUP153
NR2C1 human tf ARCHS4 coexpression,27-Aug,17.96%,0.123710306,-0.473793019,-1.500101734,STMN1;HNRNPH1;SOX4;SLC36A4;TIA1;MFSD8;CSTF1;CDKAL1
TUB human tf ARCHS4 coexpression,21-Apr,4.00%,0.122312814,-0.567090076,-1.502369144,STMN1;SCD5;KBTBD11;RTN3
ZNF503 human tf ARCHS4 coexpression,Dec-34,17.24%,0.122520343,-0.498055697,-1.502863338,RPL36;HIST1H4C;SLC19A1;RAB13;ECI1;CDK16;DUS1L;UBE2M;MEN1;ZNF787;FBRSL1;LRP3
HSF1 human tf ARCHS4 coexpression,25/68,17.50%,0.122782027,-0.450042769,-1.503037221,CLCN7;CDK16;DUS1L;STK11;NCLN;GTPBP6;TMEM259;UBE2M;SLC4A2;FZR1;INTS1;TTLL12;RPTOR;SLC38A10;MEN1;TNRC18;UPF1;ZNF787;LRRC45;MOGS;ARFGAP1;POLRMT;FBRSL1;SEC16A;SMARCD2
ZNF664 human tf ARCHS4 coexpression,23/50,29.26%,0.122414683,-0.461743304,-1.503505306,UBFD1;TM9SF3;CDK16;UBA1;PYGO2;DVL3;SLC4A2;PANK3;INTS1;ZDHHC5;UPF1;SEC16A;SMARCD2;KDM3B;ATRN;FAM168B;FOXK2;REPIN1;MGAT4B;MINK1;UBAP2L;CENPB;TAOK2
SRF human tf ARCHS4 coexpression,38/78,29.98%,0.120195018,-0.438451551,-1.506065376,CLCN7;DUS1L;STK11;GTPBP6;TMEM259;UBA1;DVL3;UBE2M;GSK3A;SLC4A2;FZR1;INTS1;TTLL12;RPTOR;MEN1;ZDHHC5;UPF1;ZNF787;MOGS;ARFGAP1;POLRMT;FBRSL1;SEC16A;SMARCD2;FAM168B;FURIN;CSNK1G2;REPIN1;ZNF282;DHX37;REXO1;SDF4;KMT2D;MINK1;GATAD2A;CENPB;TAOK2;AKT1S1
ZNF24 human tf ARCHS4 coexpression,26/55,21.88%,0.120025541,-0.469639956,-1.506536396,UBFD1;TM9SF3;ATP8A1;ZNF770;DIS3;ARHGAP19;PLEKHA8;PANK3;ATMIN;SMAD4;NUP153;ARL5B;MEX3C;CCNT1;SMCHD1;STRN;MCMBP;VCPIP1;PIKFYVE;ATG2B;KDM3B;PUM1;FAR1;AP1G1;FAM168B;TLK2
SREBF2 human tf ARCHS4 coexpression,30/67,30.10%,0.120547391,-0.450335787,-1.506543983,DNAJC5;CDK16;TMEM259;UBA1;DVL3;PTOV1;GSK3A;SLC4A2;FZR1;INTS1;RPTOR;MEN1;TNRC18;UPF1;MOGS;ARFGAP1;POLRMT;SEC16A;ATP13A2;FAM168B;REPIN1;REXO1;SDF4;KMT2D;MGAT4B;SYNGAP1;MINK1;PKD1;TAOK2;FBXO41
ZNF709 human tf ARCHS4 coexpression,29-Sep,20.59%,0.120592073,-0.503592066,-1.507015036,NUCB2;ATP8A1;ZNF682;MIB1;ABCA5;MCTP2;B3GNT5;NUDT18;KLHL9
NKRF human tf ARCHS4 coexpression,27-Nov,13.01%,0.118594271,-0.529149706,-1.510112704,HSPD1;HSP90AA1;HSP90AB1;MKI67;DNAJA4;FBXO45;CCDC117;ZNF639;SMAD4;NUP153;DCTN4
