Term,tag %,gene %,fdr,es,nes,lead_genes
REPIN1 human tf ARCHS4 coexpression,39/74,33.23%,0.1097608204940148,-0.4644427264937814,-1.5494407527516696,SLC4A2;EML3;TTLL12;AKT1S1;MGAT4B;SDF4;PTGES2;H1FX;LONP1;UBE2M;CTDNEP1;BTBD2;UBA1;INTS1;WDTC1;ATXN7L3;TNRC18;CLCN7;MAP2K2;POLRMT;SMARCD2;ESRRA;MOGS;INPPL1;CENPB;GIGYF1;KIAA2013;MEN1;SEC16A;ANKRD52;FBRSL1;ZNF282;GATAD2A;DUS1L;LENG8;GTPBP6;REXO1;SMG5;GSK3A
ZBTB45 human tf ARCHS4 coexpression,19/52,16.05%,0.10887382912290662,-0.503926492902963,-1.5516692181899299,TSPO;SLC4A2;MBOAT7;ATP5D;PRELID1;AKT1S1;SDF4;PPP1R35;PTGES2;MFSD3;STUB1;UBE2M;BTBD2;INTS1;LRRC47;NLRX1;CLCN7;POLRMT;TBC1D17
PMS1 human tf ARCHS4 coexpression,7/15,16.69%,0.10605360044892176,-0.6123014162263856,-1.5560756160630094,KIAA0101;STMN1;H2AFZ;HNRNPH1;TMTC3;ZNF320;PTBP2
TCF3 human tf ARCHS4 coexpression,26/53,31.03%,0.10615593010847342,-0.5007538018184169,-1.557093090794238,SLC4A2;MKI67;REPIN1;TTLL12;SDCCAG3;H1FX;LONP1;BTBD2;UBA1;INTS1;ATXN7L3;DHX37;POLRMT;SMARCD2;MOGS;INPPL1;GIGYF1;MEN1;TACC3;RNF44;ANKRD52;FBRSL1;SRF;ZNF282;GATAD2A;DUS1L
ZC3H14 human tf ARCHS4 coexpression,7/19,14.41%,0.1056870441315878,-0.5791420615022158,-1.5583407949944827,MTRNR2L12;SULT1B1;MAPKAPK5;ZMYM1;WDPCP;ZNF320;PTGR2
HIST1H1D human tf ARCHS4 coexpression,10/27,13.23%,0.10405976840833497,-0.585275724094767,-1.5605334483495081,HIST1H2AC;MTRNR2L1;MTRNR2L12;MTRNR2L8;MKI67;HIST1H1E;NFE2;HMGB2;SLBP;ARHGAP19
ZFR human tf ARCHS4 coexpression,7/21,13.42%,0.10217953296158272,-0.5919384766544693,-1.5641721805418487,HSPD1;HSP90AB1;KIF23;MPP5;YEATS2;BBS2;ZNF770
ZNF227 human tf ARCHS4 coexpression,15/20,25.36%,0.10015814443858724,-0.6327171391852062,-1.5673475128194445,TOP2A;MKI67;TUBA1B;KIF23;ZMYM1;LBR;DPY19L3;TEX10;PTBP2;ZNF169;ZNF248;XRRA1;TRIM59;CUL4A;CCDC117
HOXD3 human tf ARCHS4 coexpression,6/18,12.74%,0.09611287666421159,-0.6027923127587705,-1.5729543085107012,VIM;PTMS;PTOV1;AKT1S1;STUB1;EVA1B
PRDM13 human tf ARCHS4 coexpression,8/20,15.63%,0.09615384615384616,-0.6836168031222783,-1.5736275648813636,CKB;PRELID1;CHCHD10;STUB1;UBE2M;LRP3;DHX37;POLRMT
HOXA6 human tf ARCHS4 coexpression,11/29,11.48%,0.09619535828572753,-0.5401451308510543,-1.5742259753984773,SPINK2;PRSS57;UBB;PTPRCAP;RGL4;MBOAT7;NFE2;SCARF1;UBA7;ACSS1;LMO2
HOXC4 human tf ARCHS4 coexpression,14/44,14.45%,0.09587788185574163,-0.5166830547439287,-1.5754254019041598,MKI67;CEBPE;PTOV1;SRSF9;VARS2;CHCHD10;AKT1S1;STUB1;SDCCAG3;UBE2M;LRRC45;BTBD2;UBA1;LRP3
HOXB6 human tf ARCHS4 coexpression,12/28,14.26%,0.09386702023963966,-0.6258761560893173,-1.578209202030934,SLC4A2;CALR;MKI67;TTLL12;AKT1S1;MGAT4B;STUB1;UBE2M;LRRC45;BTBD2;UBA1;WRNIP1
EBF4 human tf ARCHS4 coexpression,12/46,15.06%,0.09425832304061087,-0.548458487385746,-1.5782531646433435,CKB;SCD5;GOLM1;PPP2R3A;PTOV1;VARS2;SLC25A29;AGAP3;BTBD2;TNRC18;LRP3;ROGDI
MTA1 human tf ARCHS4 coexpression,39/71,33.23%,0.09025239388971597,-0.48630141829580786,-1.5834609314474823,SLC4A2;REPIN1;CEBPE;PTOV1;TTLL12;SDCCAG3;H1FX;UBE2M;LRRC45;BTBD2;UBA1;INTS1;ATXN7L3;TNRC18;LRP3;DHX37;MAP2K2;POLRMT;SMARCD2;ACAP3;MOGS;INPPL1;CENPB;SYNGAP1;GIGYF1;MEN1;SEC16A;CDK16;RNF44;ANKRD52;FBRSL1;ZNF282;GATAD2A;SNAPC4;DUS1L;LENG8;REXO1;SMG5;GSK3A
TEAD2 human tf ARCHS4 coexpression,10/23,16.81%,0.09037803760545508,-0.6333810124555483,-1.5839121624168837,HSPD1;PTMS;PTOV1;NDST1;UBFD1;ERCC2;PLEKHA8;UBA1;VCL;MFGE8
HAND1 human tf ARCHS4 coexpression,7/19,10.91%,0.09100133441652718,-0.6316802937862618,-1.5839143890385243,CKB;SPARC;FABP5;UBFD1;ITGAV;ST6GALNAC3;PLEKHA8
POU3F4 human tf ARCHS4 coexpression,3/20,3.99%,0.09163328812775307,-0.595588092272523,-1.5840195443863383,STMN1;HIST1H4C;SOX4
ZNF677 human tf ARCHS4 coexpression,4/19,3.99%,0.08900551619824967,-0.6133281682686117,-1.5884549892491062,STMN1;PLAC8;FXYD6;SOX4
VEZF1 human tf ARCHS4 coexpression,5/19,15.44%,0.08925251766060456,-0.6067841906037369,-1.589155682877357,STMN1;HACE1;AGO1;SNAPC3;TLK2
ZFP90 human tf ARCHS4 coexpression,6/18,5.63%,0.08861054240656974,-0.6373792978192585,-1.590998850261928,SCD5;STMN1;FXYD6;MTRNR2L12;SOX4;ZNF512
HOXC5 human tf ARCHS4 coexpression,18/28,26.88%,0.0878309881999919,-0.6098724362109007,-1.5935668553335143,SLC4A2;PTMS;PRELID1;AKT1S1;PTGES2;ECI1;STUB1;SDCCAG3;UBE2M;UBA1;INTS1;INPPL1;CENPB;RFNG;LMNA;MEN1;CDK16;ANKRD52
HSF4 human tf ARCHS4 coexpression,21/70,18.17%,0.08484157890831813,-0.49724262431203003,-1.59743361877196,MT-ND4;COMTD1;REPIN1;ZNF692;PPP1R37;MT-ND3;SLC25A29;ABCA7;AGAP3;LRRC45;BTBD2;INTS1;CAMTA2;TNRC18;CLCN7;POLRMT;CLSTN3;TBC1D17;RGL2;ACAP3;MYO15B
CIZ1 human tf ARCHS4 coexpression,29/69,25.55%,0.08532610409716136,-0.4972698016208485,-1.5976754707551826,SLC4A2;CALR;REPIN1;TTLL12;AKT1S1;MGAT4B;SDF4;PTGES2;SDCCAG3;LONP1;UBE2M;CTDNEP1;TOP3B;BTBD2;UBA1;INTS1;WDTC1;ATXN7L3;CLCN7;POLRMT;SMARCD2;LZTR1;MOGS;INPPL1;CENPB;RPTOR;MEN1;SEC16A;CDK16
ZSCAN23 human tf ARCHS4 coexpression,6/16,17.91%,0.08411184617180253,-0.6071664600572046,-1.6006369045486755,STMN1;SOX4;ELMOD2;MSMO1;PTBP2;TIA1
TWIST1 human tf ARCHS4 coexpression,7/30,1.98%,0.0845981310491838,-0.555099489178445,-1.6009927700589681,CTSK;SPARC;IGFBP6;MMP14;SELM;EXT1;LGALS1
NFATC4 human tf ARCHS4 coexpression,8/35,5.93%,0.08522478387177035,-0.5633714452400211,-1.601096452262204,CTSK;SPARC;VIM;MMP14;EXT1;LGALS1;PTMS;NDST1
POU5F1 human tf ARCHS4 coexpression,9/18,16.81%,0.0841167424303405,-0.6348544352528317,-1.6042637837666245,HSPD1;HSP90AB1;TTLL12;UBFD1;ERCC2;ARHGAP19;PRKCI;VCL;MFGE8
SNAPC4 human tf ARCHS4 coexpression,38/77,32.32%,0.08299203871159591,-0.4615140330677688,-1.607155060524429,SLC4A2;REPIN1;EML3;TTLL12;AKT1S1;SDF4;PTGES2;SDCCAG3;UBE2M;LRRC45;BTBD2;UBA1;INTS1;ATXN7L3;TNRC18;CLCN7;DHX37;POLRMT;SMARCD2;ACAP3;LZTR1;MOGS;E4F1;INPPL1;RPTOR;GIGYF1;MEN1;SEC16A;ANKRD52;FBRSL1;SRF;ZNF282;GATAD2A;NCLN;DUS1L;LENG8;GTPBP6;REXO1
CHD7 human tf ARCHS4 coexpression,4/27,3.99%,0.08198648420050633,-0.5797904777681132,-1.610126539823886,CKB;STMN1;FXYD6;SOX4
ZNF138 human tf ARCHS4 coexpression,7/16,17.91%,0.08247510543220522,-0.6502342905166336,-1.6104359956601544,STMN1;MTRNR2L12;RTN3;ELMOD2;MSMO1;PTBP2;TIA1
